unigram,unigram_freq,phon
я,2024648,j a
не,1818034,n ɛ
що,1283940,ʃ tʃ o
ти,1078051,t̪ ɪ
це,1069090,t s ɛ
і,829169,iː
так,755062,t̪ a k
на,729020,n a
у,700809,u
з,657928,z
в,637761,β
ми,478824,m ɪ
він,466613,β iː n
як,447258,j a k
а,446161,a
мене,419418,m ɛ n ɛ
ви,396982,β ɪ
ні,379987,ɲ iː
але,353521,a l ɛ
мені,349908,m ɛ ɲ iː
до,328591,d o
тебе,319687,t̪ ɛ b ɛ
за,314406,z a
його,274085,j o h o
все,252800,f s ɛ
про,252434,p r o
вона,250391,β o n a
тут,238693,t̪ u t̪
тобі,208164,t̪ o b iː
вони,205973,β o n ɪ
якщо,199294,j a k ʃ tʃ o
ж,193353,ʒ
та,192679,t̪ a
добре,192676,d o b r ɛ
щоб,174859,ʃ tʃ o b
ще,174210,ʃ tʃ ɛ
коли,172915,k o l ɪ
знаю,169896,z n a j u
для,166133,d ʎ a
є,164852,j ɛ
її,159427,j iː j iː
нас,157066,n a s
й,156722,j
просто,148223,p r o s t̪ o
гаразд,147052,h a r a z d
треба,145623,t̪ r ɛ b a
вас,143670,β a s
було,142938,b u l o
дуже,137250,d u ʒ ɛ
то,132893,t̪ o
чи,132623,tʃ ɪ
б,132579,b
може,129667,m o ʒ ɛ
ну,126925,n u
хто,126655,x t̪ o
чому,126647,tʃ o m u
був,125941,b u β
дякую,124491,d j a k u j u
там,120681,t̪ a m
де,117715,d ɛ
від,117547,β iː d
вже,113850,β ʒ ɛ
буде,111208,b u d ɛ
хочу,110128,x o tʃ u
тому,107850,t̪ o m u
вам,106172,β a m
бо,104939,b o
цього,101216,t sʲ o h o
щось,99977,ʃ tʃ o s
їх,99143,j iː x
нам,98469,n a m
о,97216,o
зараз,97032,z a r a z
нічого,96265,ɲ iː tʃ o h o
ось,95584,o s
мій,91935,m iː j
бути,91830,b u t̪ ɪ
можу,91129,m o ʒ u
усе,88029,u s ɛ
те,87248,t̪ ɛ
будь,86734,b u d
привіт,85837,p r ɪ β iː t̪
знаєш,85723,z n a j ɛ ʃ
можна,84941,m o ʒ n a
із,84020,iː z
лише,82540,l ɪ ʃ ɛ
тепер,82412,t̪ ɛ p ɛ r
по,82058,p o
була,77373,b u l a
більше,74924,b iː ʎ ʃ ɛ
час,73831,tʃ a s
зі,71443,z iː
тоді,70007,t̪ o d iː
йому,69375,j o m u
хочеш,68255,x o tʃ ɛ ʃ
тільки,67245,t̪ iː ʎ k ɪ
теж,65263,t̪ ɛ ʒ
всі,65205,f s iː
нього,63978,ɲ o h o
життя,63227,ʒ ɪ t̪ t̪ j a
моя,63117,m o j a
сюди,62475,s j u d ɪ
немає,62242,n ɛ m a j ɛ
навіть,62231,n a β iː t
через,62100,tʃ ɛ r ɛ z
давай,61731,d a β a j
таке,61047,t̪ a k ɛ
цей,60694,t s ɛ j
что,60408,tʃ t̪ o
сказав,60308,s k a z a β
того,59777,t̪ o h o
який,59582,j a k ɪ j
ніколи,59332,ɲ iː k o l ɪ
тобою,58623,t̪ o b o j u
боже,58519,b o ʒ ɛ
завжди,56807,z a β ʒ d ɪ
один,56409,o d ɪ n
чого,55599,tʃ o h o
сьогодні,55109,sʲ o h o d ɲ iː
думаю,55014,d u m a j u
ласка,54640,l a s k a
себе,53827,s ɛ b ɛ
краще,53199,k r a ʃ tʃ ɛ
гей,52278,h ɛ j
мною,51818,m n o j u
без,51031,b ɛ z
саме,50840,s a m ɛ
були,50395,b u l ɪ
багато,49958,b a h a t̪ o
би,49758,b ɪ
ты,48005,t ɛ (en) j ɛ ɹ u (uk)
які,45770,j a k iː
має,45314,m a j ɛ
чудово,44946,tʃ u d o β o
твій,44504,d̪ β iː j
або,44443,a b o
справді,44215,s p r a β d iː
и,44180,ɪ
можеш,44156,m o ʒ ɛ ʃ
хотів,43909,x o t̪ iː β
маю,43725,m a j u
під,43361,p iː d
правда,43345,p r a β d a
сказати,43038,s k a z a t̪ ɪ
ним,42885,n ɪ m
яка,42724,j a k a
ходімо,42660,x o d iː m o
день,42413,d ɛ ɲ
їй,42249,j iː j
них,42140,n ɪ x
трохи,41900,t̪ r o x ɪ
років,41589,r o k iː β
люди,41023,ʎ u d ɪ
твоя,40686,d̪ β o j a
знову,39919,z n o β u
сер,39884,s ɛ r
ці,39809,t s iː
два,39784,d β a
это,39765,t̪ o
робити,39740,r o b ɪ t̪ ɪ
усі,39480,u s iː
неї,39304,n ɛ j iː
такий,39102,t̪ a k ɪ j
тож,38655,t̪ o ʒ
ніж,38452,ɲ iː ʒ
після,38392,p iː s ʎ a
зробити,38373,z r o b ɪ t̪ ɪ
чорт,38306,tʃ o r t̪
той,37914,t̪ o j
сталося,37222,s t̪ a l o s j a
людей,37016,ʎ u d ɛ j
потім,36894,p o t̪ iː m
