position,word
1,goue
2,laat
3,ling
4,heuning
5,gevaar
6,idioot
7,vergadering
8,af
9,erken
10,eend
11,koud
12,weerlig
13,talent
14,towerkuns
15,boom
16,honderd
17,konstruksie
18,bed
19,die verenigde state
20,doof
21,rassisties
22,dieretuin
23,orgasme
24,hamer
25,selfsugtig
26,vreemdeling
27,kliniek
28,begroting
29,eerlikheid
30,samelewing
31,vel
32,klooster
33,voortdurend
34,honger
35,ongeluk
36,parfuum
37,kragopwekker
38,partytjie
39,kinderjare
40,stegie
41,verwoesting
42,oprigting
43,skrik
44,vlugteling
45,kavallerie
46,bevolking
47,eintlik
48,sielkundige
49,maand
50,ry
51,lelik
52,toeval
53,soek
54,gelukkig
55,vuil
56,liedjie
57,die hiv
58,skuldig
59,eksterne
60,hoofstad
61,tonnel
62,tegniek
63,vier
64,reputasie
65,lyk
66,bind
67,drievoudige
68,skud
69,prototipe
70,ambassade
71,soms
72,ironie
73,somer
74,boek
75,twee
76,blou
77,beskuldiging
78,internasionale
79,tamatie
80,normaal
81,lug
82,oefening
83,graan
84,straat
85,snelweg
86,oom
87,aktiwiteit
88,beweeg
89,handves
90,wiskunde
91,krediet
92,motel
93,verbetering
94,vullis
95,vervang
96,verantwoordelikheid
97,dinastie
98,diefstal
99,galery
100,sjef
101,befondsing
102,aartappel
103,model
104,platform
105,besef
106,mayonnaise
107,koors
108,goewerneur
109,blind
110,kalm
111,basketbal
112,staking
113,horing
114,beursie
115,reaktor
116,slang
117,vergifnis
118,som
119,stelsel
120,dinamiet
121,vorm
122,neef
123,regs
124,vra
125,baard
126,n
127,wesens
128,waarskynlik
129,sindroom
130,moord
131,leuenaar
132,parlement
133,ondersteuning
134,veiling
135,komedie
136,sink
137,spioen
138,moed
139,die oerwoud
140,tatoeëermerk
141,dwaasheid
142,skat
143,trein
144,vrou
145,radius
146,aantreklik
147,planne
148,oor
149,afval
150,span
151,die redder
152,stres
153,moeilik
154,akkedis
155,weerstand
156,ineenstorting
157,biskop
158,paspoort
159,dodelik
160,gister
161,sonkrag
162,verkoop
163,ontmoet
164,swangerskap
165,anargie
166,oggend
167,beton
168,heeltemal
169,aandag
170,skep
171,handelaar
172,beleefd
173,regtig
174,sameswering
175,skepping
176,program
177,toename
178,gebeur
179,krities
180,jaloers
181,voer
182,waardig
183,album
184,verpletter
185,bestuurder
186,onbekend
187,tydnemer
188,christelike
189,boston
190,verslag
191,voël
192,produk
193,kompas
194,vraag
195,ideaal
196,marteling
197,onderrig
198,beer
199,toestemming
200,onkunde
201,meisies
202,koerant
203,anoniem
204,voorkom
205,slim
206,produksie
207,lewendig
208,verwarring
209,siviele
210,badkamer
211,opstel
212,stil
213,plausibel
214,spier
215,status
216,slagveld
217,boodskap
218,vakansie
219,bos
220,bevelvoerder
221,bors
222,administratiewe
223,verdrink
224,administrasie
225,sone
226,steel
227,duim
228,skilpad
229,oorwinning
230,kerk
231,arena
232,lyn
233,aanvaar
234,pensioen
235,wêreldwye
236,beroof
237,god
238,opening
239,web
240,lid
241,marathon
242,engels
243,regering
244,van
245,verjaardag
246,verstaan
247,deur
248,dankie
249,stempel
250,uitskakel
251,gholf
252,gesmelt
253,bekommerd
254,die dier
255,die liefde
256,erf
257,dorpie
258,oor die algemeen
259,meisie
260,onderwyser
261,die wolf
262,sielkunde
263,missiel
264,wetgewing
265,toekomstige
266,gees
267,sigaret
268,sweer
269,vryheid
270,huidige
271,hulp
272,atoom
273,voldoende
274,episode
275,weier
276,kruit
277,diploma
278,sement
279,kontrak
280,rotte
281,drie
282,kontant
283,oktober
284,bly
285,toestel
286,draai
287,terugkeer
288,stewig
289,kalkoen
290,wapenrusting
291,waarneming
292,wurm
293,die
294,begraafplaas
295,spoed
296,artillerie
297,lesing
298,losprys
299,aas
300,regiment
301,ryk
302,die sheriff
303,pols
304,regmaak
305,oordrag
306,voorval
307,beleid
308,lot
309,spinnekop
310,verraaier
311,ellendig
312,die maan
313,aankoms
314,dors
315,slager
316,foto
317,engele
318,gyselaar
319,planeet
320,kardinaal
321,september
322,sjarme
323,uiters
324,assistent
325,absoluut
326,sluiting
327,alarm
328,finale
329,hawe
330,trots
331,vader
332,kersfees
333,bedrywighede
334,glo
335,krag
336,omgewing
337,inligtingsgewer
338,are
339,handdoek
340,verskaf
341,vinnig
342,beker
343,dwaas
344,kitaar
345,oos
346,entoesiasme
347,edel
348,voorreg
349,bruin
350,beskerm
351,troon
352,privaat
353,kieser
354,fortuin
355,orkes
356,keuse
357,die huis
358,misdadiger
359,sjarmante
360,vanille
361,lyding
362,beskryf
363,vertel
364,belangrik
365,wreed
366,kranksinnig
367,koninkryk
368,seremonie
369,fees
370,amateur
371,nuus
372,geveg
373,bemarking
374,effek
375,die oorlog
376,eier
377,dagbreek
378,stof
379,duur
380,miljard
381,skrywer
382,laan
383,aarbeie
384,rubber
385,die man
386,dekade
387,verskrikking
388,kaal
389,klooster
390,gelaai
391,gehoor
392,sonskyn
393,gemeenskap
394,adrenalien
395,teks
396,geliefde
397,met
398,naïef
399,silwer
400,dramaties
