dataset,familiar,concrete,valence,arousal,imagine,n_variables
Alario1999.csv,x,,,,,1
Barca2002.csv,x,x,,,x,3
Bennett2011.csv,,,,,x,1
Berrian1979.csv,,,,,x,1
Bogunovic2023.csv,x,x,x,x,,4
Bonin2003.csv,x,,,,,1
Bonin2018.csv,,x,x,x,,3
Bonin2021.csv,x,,,,x,2
Borsa2025.csv,x,x,x,x,x,5
Boukadi2016.csv,x,,,,x,2
Bradley1999.csv,,,x,x,,2
Brysbaert2014.csv,,x,,,,1
Brysbaert2014a.csv,,x,,,,1
Chan2024.csv,x,x,x,x,x,5
Cheng2025.csv,,,x,x,,2
Chiarello1999.csv,,,,,x,1
Citron2016.csv,x,x,x,x,,4
Clarke2018.csv,x,,,,,1
Clarke2024.csv,,,,,x,1
Conca2024.csv,x,,x,x,x,4
Conde2026_familiar_human.csv,x,,,,,1
Cortese2004.csv,,,,,x,1
Coso2019.csv,,x,x,x,,3
DeDeyne2008.csv,x,,,,x,2
DellaRosa2010.csv,x,x,,,x,3
Dellacqua2000_1.csv,x,,,,,1
Desrochers2009.csv,,,,,x,1
Desrochers2010.csv,,,,,x,1
Falcinelli2024.csv,x,x,x,x,x,5
Ferre2012.csv,x,x,x,x,,4
Fiez1997.csv,x,,,,,1
Friendly1982.csv,,x,,,,1
Gilhooly1977.csv,x,x,,,x,3
Gilhooly1980.csv,x,x,,,x,3
Gilhooly1980a.csv,x,x,,,x,3
Granja2025.csv,x,,,,,1
Grigoriev2013.csv,x,,,,x,2
Guasch2016.csv,x,x,x,x,x,5
Hermans1994.csv,x,,,,,1
Hinojosa2016a.csv,,x,x,x,,3
Hinojosa2016b.csv,x,,,,,1
Imbir2015.csv,,,x,x,,2
Janschewitz2008.csv,x,,x,x,x,4
Janssen2011.csv,x,,,,x,2
Jasmin2012.csv,,x,x,x,x,4
Kanske2010.csv,,x,x,x,,3
Kerr1991.csv,x,x,,,x,3
Khwaileh2018.csv,x,,,,x,2
Klee1976.csv,,x,,,,1
Kraljevic2018.csv,x,x,,,x,3
Kurdi2017.csv,,,x,x,,2
Lachaud2007.csv,x,,,,,1
Li2021.csv,x,,,,,1
Lippman1974.csv,,,,,x,1
Liu2025.csv,x,x,x,x,,4
Manoiloff2010.csv,x,,,,x,2
Masterson1998.csv,x,,,,x,2
Miklashevsky2018.csv,,,,,x,1
Monnier2017.csv,,,x,x,,2
Montefinese2014.csv,x,x,x,x,x,5
Montefinese2023_en.csv,,x,,,,1
Montefinese2023_it.csv,,x,,,,1
Moors2013.csv,,,x,x,,2
Moreno-Martinez2012.csv,x,,,,,1
Moreno-Martinez2014.csv,x,,,,,1
Muraki2025.csv,,x,x,x,x,4
Navarrete2019.csv,x,,,,,1
Paivio1968.csv,,x,,,x,2
PetiStantic2021.csv,,x,,,x,2
Quadflieg2014.csv,x,x,x,,,3
Rami2022.csv,,,,,x,1
Raslescu2023.csv,,,x,,x,2
Ric2013.csv,,,x,,,1
Rinaldi2004.csv,,,,,x,1
Rocklage2018.csv,,,x,,,1
Roest2017.csv,,,x,x,,2
Rogic2013.csv,x,,,,,1
Russell1970.csv,x,,,,,1
Salmon2010.csv,x,,,,,1
Schauenburg2015.csv,,,x,x,,2
Schmidtke2014.csv,,,x,,x,2
Schroder2012.csv,x,,,,,1
Schwitter2004.csv,x,,,,,1
Scott2017.csv,x,x,x,x,x,5
Scott2019.csv,x,x,x,x,x,5
Siew2025.csv,,x,x,x,,3
Snodgrass1980.csv,x,,,,,1
Soares2012.csv,,,x,x,,2
Soares2017.csv,,x,,,x,2
Stadthagen-Gonzalez2017.csv,,,x,x,,2
Stadthagen-Gonzalez2017a.csv,,,x,x,,2
Stration1975.csv,x,,,,x,2
Surprenant1999.csv,x,,,,,1
Syssau2009.csv,,,x,,,1
Tabossi2011.csv,x,,,,,1
Toglia1978.csv,x,x,,,x,3
Tsaparina2011.csv,x,,,,x,2
VanderGoten1999.csv,,x,x,,,2
Verheyen2020.csv,x,x,x,x,x,5
Vo2009.csv,,,x,x,x,3
Walker1970.csv,,,,,x,1
Walley1992.csv,,,,,x,1
Warriner2013.csv,,,x,x,,2
Whalen1994.csv,x,,,,,1
Yang2018.csv,,,x,x,,2
Yao2017.csv,x,x,x,x,x,5
Yee2017.csv,x,x,x,x,x,5
Yoon2004.csv,x,,,,,1
