"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below","reliability_hit_sample_size"
"Alario1999","Alario1999.rds","ready","simulations/aoa/pilot/Alario1999.rds",70,95,20,60,40,60,100,20
"Alonso2016","Alonso2016.rds","ready","simulations/aoa/pilot/Alonso2016.rds",70,95,20,90,70,90,100,20
"Birchenough2017","Birchenough2017.rds","ready","simulations/aoa/pilot/Birchenough2017.rds",70,95,20,60,40,60,100,20
"Bonin2021","Bonin2021.rds","ready","simulations/aoa/pilot/Bonin2021.rds",70,95,20,60,40,60,100,20
"Brysbaert2014a","Brysbaert2014a.rds","ready","simulations/aoa/pilot/Brysbaert2014a.rds",70,95,20,70,40,70,100,20
"Carroll1973","Carroll1973.rds","ready","simulations/aoa/pilot/Carroll1973.rds",70,95,20,70,50,70,100,20
"Clarke2024","Clarke2024.rds","ready","simulations/aoa/pilot/Clarke2024.rds",70,95,20,120,90,120,100,20
"DellaRosa2010","DellaRosa2010.rds","ready","simulations/aoa/pilot/DellaRosa2010.rds",70,95,20,100,60,100,100,20
"Diez-Alamo2018","Diez-Alamo2018.rds","ready","simulations/aoa/pilot/Diez-Alamo2018.rds",70,95,20,30,20,30,100,20
"Ferrand2008","Ferrand2008.rds","ready","simulations/aoa/pilot/Ferrand2008.rds",70,95,20,80,50,80,100,20
"Gilhooly1980","Gilhooly1980.rds","ready","simulations/aoa/pilot/Gilhooly1980.rds",70,95,20,150,110,150,100,20
"Khwaileh2018","Khwaileh2018.rds","ready","simulations/aoa/pilot/Khwaileh2018.rds",70,95,20,190,160,190,100,20
"Kuperman2012","Kuperman2012.rds","ready","simulations/aoa/pilot/Kuperman2012.rds",70,95,20,60,40,60,100,20
"Manoiloff2010","Manoiloff2010.rds","ready","simulations/aoa/pilot/Manoiloff2010.rds",70,95,20,70,50,70,100,20
"Masterson1998","Masterson1998.rds","ready","simulations/aoa/pilot/Masterson1998.rds",70,95,20,80,60,80,100,20
"Mochizuki2025","Mochizuki2025.rds","ready","simulations/aoa/pilot/Mochizuki2025.rds",70,95,20,70,60,70,100,20
"Moors2013","Moors2013.rds","ready","simulations/aoa/pilot/Moors2013.rds",70,95,20,70,50,70,100,20
"Navarrete2019","Navarrete2019.rds","ready","simulations/aoa/pilot/Navarrete2019.rds",70,95,20,140,110,140,100,20
"Raman2014","Raman2014.rds","ready","simulations/aoa/pilot/Raman2014.rds",70,95,40,80,70,80,100,40
"Russell1970","Russell1970.rds","ready","simulations/aoa/pilot/Russell1970.rds",70,95,20,60,40,60,100,20
"Schock2012","Schock2012.rds","ready","simulations/aoa/pilot/Schock2012.rds",70,95,20,60,50,60,100,20
"Schwitter2004","Schwitter2004.rds","ready","simulations/aoa/pilot/Schwitter2004.rds",70,95,20,60,40,60,100,20
"Scott2019","Scott2019.rds","ready","simulations/aoa/pilot/Scott2019.rds",70,95,20,70,50,70,100,20
"Tabossi2011","Tabossi2011.rds","ready","simulations/aoa/pilot/Tabossi2011.rds",70,95,20,70,50,70,100,20
"Valueva2025","Valueva2025.rds","ready","simulations/aoa/pilot/Valueva2025.rds",70,95,20,80,50,80,100,20
"Xu2021","Xu2021.rds","ready","simulations/aoa/pilot/Xu2021.rds",70,95,20,40,20,40,100,20
