"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below","reliability_hit_sample_size"
"Bogunovic2023","Bogunovic2023.rds","ready","simulations/arousal/pilot/Bogunovic2023.rds",70,95,20,55,45,55,100,15
"Bonin2018","Bonin2018.rds","ready","simulations/arousal/pilot/Bonin2018.rds",70,95,20,55,45,55,100,5
"Borsa2025","Borsa2025.rds","ready","simulations/arousal/pilot/Borsa2025.rds",70,95,20,45,35,45,100,5
"Bradley1999","Bradley1999.rds","ready","simulations/arousal/pilot/Bradley1999.rds",70,95,20,25,15,25,100,5
"Chan2024","Chan2024.rds","ready","simulations/arousal/pilot/Chan2024.rds",70,95,20,35,25,35,100,5
"Cheng2025","Cheng2025.rds","ready","simulations/arousal/pilot/Cheng2025.rds",70,95,20,35,25,35,100,15
"Conca2024","Conca2024.rds","ready","simulations/arousal/pilot/Conca2024.rds",70,95,20,25,15,25,100,5
"Coso2019","Coso2019.rds","ready","simulations/arousal/pilot/Coso2019.rds",70,95,20,45,35,45,100,5
"Falcinelli2024","Falcinelli2024.rds","ready","simulations/arousal/pilot/Falcinelli2024.rds",70,95,20,45,35,45,100,15
"Ferre2012","Ferre2012.rds","ready","simulations/arousal/pilot/Ferre2012.rds",70,95,20,75,55,75,100,5
"Guasch2016","Guasch2016.rds","ready","simulations/arousal/pilot/Guasch2016.rds",70,95,20,45,35,45,100,5
"Hinojosa2016a","Hinojosa2016a.rds","ready","simulations/arousal/pilot/Hinojosa2016a.rds",70,95,20,65,45,65,100,5
"Imbir2015","Imbir2015.rds","ready","simulations/arousal/pilot/Imbir2015.rds",70,95,20,65,55,65,100,5
"Janschewitz2008","Janschewitz2008.rds","ready","simulations/arousal/pilot/Janschewitz2008.rds",70,95,20,365,295,365,100,5
"Kanske2010","Kanske2010.rds","ready","simulations/arousal/pilot/Kanske2010.rds",70,95,20,105,85,105,100,5
"Kurdi2017","Kurdi2017.rds","ready","simulations/arousal/pilot/Kurdi2017.rds",70,95,20,135,115,135,100,15
"Liu2025","Liu2025.rds","ready","simulations/arousal/pilot/Liu2025.rds",70,95,20,55,45,55,100,5
"Monnier2017","Monnier2017.rds","ready","simulations/arousal/pilot/Monnier2017.rds",70,95,20,45,35,45,100,15
"Montefinese2014","Montefinese2014.rds","ready","simulations/arousal/pilot/Montefinese2014.rds",70,95,20,55,45,55,100,5
"Moors2013","Moors2013.rds","ready","simulations/arousal/pilot/Moors2013.rds",70,95,20,105,85,105,100,5
"Muraki2025","Muraki2025.rds","ready","simulations/arousal/pilot/Muraki2025.rds",70,95,20,45,35,45,100,5
"Roest2017","Roest2017.rds","ready","simulations/arousal/pilot/Roest2017.rds",70,95,20,125,105,125,100,15
"Schauenburg2015","Schauenburg2015.rds","ready","simulations/arousal/pilot/Schauenburg2015.rds",70,95,20,75,55,75,100,5
"Scott2017","Scott2017.rds","ready","simulations/arousal/pilot/Scott2017.rds",70,95,20,55,45,55,100,5
"Scott2019","Scott2019.rds","ready","simulations/arousal/pilot/Scott2019.rds",70,95,20,55,45,55,100,5
"Siew2025","Siew2025.rds","ready","simulations/arousal/pilot/Siew2025.rds",70,95,20,95,85,95,100,15
"Soares2012","Soares2012.rds","ready","simulations/arousal/pilot/Soares2012.rds",70,95,20,95,75,95,100,5
"Stadthagen-Gonzalez2017","Stadthagen-Gonzalez2017.rds","ready","simulations/arousal/pilot/Stadthagen-Gonzalez2017.rds",70,95,20,185,135,185,100,5
"Stadthagen-Gonzalez2017a","Stadthagen-Gonzalez2017a.rds","ready","simulations/arousal/pilot/Stadthagen-Gonzalez2017a.rds",70,95,20,45,35,45,100,5
"Verheyen2020","Verheyen2020.rds","ready","simulations/arousal/pilot/Verheyen2020.rds",70,95,20,45,35,45,100,5
"Vo2009","Vo2009.rds","ready","simulations/arousal/pilot/Vo2009.rds",70,95,20,45,35,45,100,5
"Warriner2013","Warriner2013.rds","ready","simulations/arousal/pilot/Warriner2013.rds",70,95,20,35,35,35,100,5
"Yao2017","Yao2017.rds","ready","simulations/arousal/pilot/Yao2017.rds",70,95,20,125,85,125,100,5
"Yee2017","Yee2017.rds","ready","simulations/arousal/pilot/Yee2017.rds",70,95,20,45,35,45,100,5
