"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below","reliability_hit_sample_size"
"Bonin2018","Bonin2018.rds","ready","simulations/arousal/pilot/Bonin2018.rds",70,95,20,60,40,60,100,20
"Bradley1999","Bradley1999.rds","ready","simulations/arousal/pilot/Bradley1999.rds",70,95,20,20,20,20,100,20
"Cheng2025","Cheng2025.rds","ready","simulations/arousal/pilot/Cheng2025.rds",70,95,20,40,30,40,100,20
"Coso2019","Coso2019.rds","ready","simulations/arousal/pilot/Coso2019.rds",70,95,20,40,30,40,100,20
"Ferre2012","Ferre2012.rds","ready","simulations/arousal/pilot/Ferre2012.rds",70,95,20,80,60,80,100,20
"Hinojosa2016a","Hinojosa2016a.rds","ready","simulations/arousal/pilot/Hinojosa2016a.rds",70,95,20,60,50,60,100,20
"Janschewitz2008","Janschewitz2008.rds","ready","simulations/arousal/pilot/Janschewitz2008.rds",70,95,20,340,280,340,100,20
"Kurdi2017","Kurdi2017.rds","ready","simulations/arousal/pilot/Kurdi2017.rds",70,95,20,140,120,140,100,20
"Monnier2017","Monnier2017.rds","ready","simulations/arousal/pilot/Monnier2017.rds",70,95,20,50,40,50,100,20
"Moors2013","Moors2013.rds","ready","simulations/arousal/pilot/Moors2013.rds",70,95,20,110,80,110,100,20
"Roest2017","Roest2017.rds","ready","simulations/arousal/pilot/Roest2017.rds",70,95,20,120,100,120,100,20
"Scott2017","Scott2017.rds","ready","simulations/arousal/pilot/Scott2017.rds",70,95,20,60,40,60,100,20
"Siew2025","Siew2025.rds","ready","simulations/arousal/pilot/Siew2025.rds",70,95,30,100,80,100,100,30
"Stadthagen-Gonzalez2017","Stadthagen-Gonzalez2017.rds","ready","simulations/arousal/pilot/Stadthagen-Gonzalez2017.rds",70,95,20,190,140,190,100,20
"Verheyen2020","Verheyen2020.rds","ready","simulations/arousal/pilot/Verheyen2020.rds",70,95,20,40,30,40,100,20
"Warriner2013","Warriner2013.rds","ready","simulations/arousal/pilot/Warriner2013.rds",70,95,20,40,30,40,100,20
"Yee2017","Yee2017.rds","ready","simulations/arousal/pilot/Yee2017.rds",70,95,20,40,30,40,100,20
