"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below","reliability_hit_sample_size"
"Barca2002","Barca2002.rds","ready","simulations/concrete/pilot/Barca2002.rds",70,95,20,85,65,85,100,5
"Bogunovic2023","Bogunovic2023.rds","ready","simulations/concrete/pilot/Bogunovic2023.rds",70,95,20,55,45,55,100,5
"Bonin2018","Bonin2018.rds","ready","simulations/concrete/pilot/Bonin2018.rds",70,95,20,65,45,65,100,5
"Borsa2025","Borsa2025.rds","ready","simulations/concrete/pilot/Borsa2025.rds",70,95,20,55,35,55,100,5
"Brysbaert2014","Brysbaert2014.rds","ready","simulations/concrete/pilot/Brysbaert2014.rds",70,95,20,55,35,55,100,5
"Brysbaert2014a","Brysbaert2014a.rds","ready","simulations/concrete/pilot/Brysbaert2014a.rds",70,95,20,55,45,55,100,5
"Chan2024","Chan2024.rds","ready","simulations/concrete/pilot/Chan2024.rds",70,95,20,35,25,35,100,5
"Coso2019","Coso2019.rds","ready","simulations/concrete/pilot/Coso2019.rds",70,95,20,45,35,45,100,5
"DellaRosa2010","DellaRosa2010.rds","ready","simulations/concrete/pilot/DellaRosa2010.rds",70,95,20,105,65,105,100,5
"Falcinelli2024","Falcinelli2024.rds","ready","simulations/concrete/pilot/Falcinelli2024.rds",70,95,20,45,35,45,100,5
"Ferre2012","Ferre2012.rds","ready","simulations/concrete/pilot/Ferre2012.rds",70,95,20,85,65,85,100,5
"Friendly1982","Friendly1982.rds","ready","simulations/concrete/pilot/Friendly1982.rds",70,95,20,85,65,85,100,5
"Gilhooly1977","Gilhooly1977.rds","ready","simulations/concrete/pilot/Gilhooly1977.rds",70,95,20,85,65,85,100,5
"Gilhooly1980","Gilhooly1980.rds","ready","simulations/concrete/pilot/Gilhooly1980.rds",70,95,20,125,105,125,100,15
"Gilhooly1980a","Gilhooly1980a.rds","ready","simulations/concrete/pilot/Gilhooly1980a.rds",70,95,20,75,55,75,100,5
"Guasch2016","Guasch2016.rds","ready","simulations/concrete/pilot/Guasch2016.rds",70,95,20,45,35,45,100,5
"Hinojosa2016a","Hinojosa2016a.rds","ready","simulations/concrete/pilot/Hinojosa2016a.rds",70,95,20,65,45,65,100,5
"Kanske2010","Kanske2010.rds","ready","simulations/concrete/pilot/Kanske2010.rds",70,95,20,155,115,155,100,5
"Kerr1991","Kerr1991.rds","ready","simulations/concrete/pilot/Kerr1991.rds",70,95,20,55,35,55,100,5
"Klee1976","Klee1976.rds","ready","simulations/concrete/pilot/Klee1976.rds",70,95,20,75,45,75,100,5
"Kraljevic2018","Kraljevic2018.rds","ready","simulations/concrete/pilot/Kraljevic2018.rds",70,95,20,65,45,65,100,5
"Liu2025","Liu2025.rds","ready","simulations/concrete/pilot/Liu2025.rds",70,95,20,55,45,55,100,5
"Montefinese2014","Montefinese2014.rds","ready","simulations/concrete/pilot/Montefinese2014.rds",70,95,20,65,45,65,100,5
"Montefinese2023_en","Montefinese2023_en.rds","ready","simulations/concrete/pilot/Montefinese2023_en.rds",70,95,20,415,355,415,99.5762711864407,5
"Montefinese2023_it","Montefinese2023_it.rds","ready","simulations/concrete/pilot/Montefinese2023_it.rds",70,95,20,255,195,255,100,5
"Muraki2025","Muraki2025.rds","ready","simulations/concrete/pilot/Muraki2025.rds",70,95,20,45,35,45,100,5
"Paivio1968","Paivio1968.rds","ready","simulations/concrete/pilot/Paivio1968.rds",70,95,20,125,75,125,100,5
"PetiStantic2021","PetiStantic2021.rds","ready","simulations/concrete/pilot/PetiStantic2021.rds",70,95,20,55,45,55,100,5
"Quadflieg2014","Quadflieg2014.rds","ready","simulations/concrete/pilot/Quadflieg2014.rds",70,95,20,35,25,35,100,5
"Scott2017","Scott2017.rds","ready","simulations/concrete/pilot/Scott2017.rds",70,95,20,75,55,75,100,5
"Scott2019","Scott2019.rds","ready","simulations/concrete/pilot/Scott2019.rds",70,95,20,75,55,75,100,5
"Siew2025","Siew2025.rds","ready","simulations/concrete/pilot/Siew2025.rds",70,95,20,85,65,85,100,5
"Soares2017","Soares2017.rds","ready","simulations/concrete/pilot/Soares2017.rds",70,95,20,95,75,95,100,5
"Toglia1978","Toglia1978.rds","ready","simulations/concrete/pilot/Toglia1978.rds",70,95,20,95,75,95,100,5
"VanderGoten1999","VanderGoten1999.rds","ready","simulations/concrete/pilot/VanderGoten1999.rds",70,95,20,65,55,65,100,5
"Verheyen2020","Verheyen2020.rds","ready","simulations/concrete/pilot/Verheyen2020.rds",70,95,20,45,25,45,100,5
"Yao2017","Yao2017.rds","ready","simulations/concrete/pilot/Yao2017.rds",70,95,20,135,85,135,100,5
"Yee2017","Yee2017.rds","ready","simulations/concrete/pilot/Yee2017.rds",70,95,20,45,35,45,100,5
