"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below","reliability_hit_sample_size"
"Alario1999","Alario1999.rds","ready","simulations/familiar/pilot/Alario1999.rds",70,95,20,75,45,75,100,5
"Barca2002","Barca2002.rds","ready","simulations/familiar/pilot/Barca2002.rds",70,95,20,85,65,85,100,5
"Bogunovic2023","Bogunovic2023.rds","ready","simulations/familiar/pilot/Bogunovic2023.rds",70,95,20,125,55,125,100,5
"Bonin2003","Bonin2003.rds","ready","simulations/familiar/pilot/Bonin2003.rds",70,95,20,45,35,45,100,5
"Bonin2021","Bonin2021.rds","ready","simulations/familiar/pilot/Bonin2021.rds",70,95,20,55,45,55,100,5
"Borsa2025","Borsa2025.rds","ready","simulations/familiar/pilot/Borsa2025.rds",70,95,20,45,35,45,100,5
"Boukadi2016","Boukadi2016.rds","ready","simulations/familiar/pilot/Boukadi2016.rds",70,95,20,45,35,45,100,5
"Chan2024","Chan2024.rds","ready","simulations/familiar/pilot/Chan2024.rds",70,95,20,45,35,45,100,5
"Clarke2018","Clarke2018.rds","ready","simulations/familiar/pilot/Clarke2018.rds",70,95,20,95,75,95,100,5
"Conca2024","Conca2024.rds","ready","simulations/familiar/pilot/Conca2024.rds",70,95,20,35,25,35,100,5
"Conde2026_familiar_human","Conde2026_familiar_human.rds","ready","simulations/familiar/pilot/Conde2026_familiar_human.rds",70,95,20,45,25,45,100,5
"DeDeyne2008","DeDeyne2008.rds","ready","simulations/familiar/pilot/DeDeyne2008.rds",70,95,20,55,45,55,100,5
"DellaRosa2010","DellaRosa2010.rds","ready","simulations/familiar/pilot/DellaRosa2010.rds",70,95,20,95,55,95,100,5
"Dellacqua2000_1","Dellacqua2000_1.rds","ready","simulations/familiar/pilot/Dellacqua2000_1.rds",70,95,20,35,25,35,100,5
"Falcinelli2024","Falcinelli2024.rds","ready","simulations/familiar/pilot/Falcinelli2024.rds",70,95,20,45,35,45,100,5
"Ferre2012","Ferre2012.rds","ready","simulations/familiar/pilot/Ferre2012.rds",70,95,20,85,65,85,100,5
"Fiez1997","Fiez1997.rds","ready","simulations/familiar/pilot/Fiez1997.rds",70,95,20,65,55,65,100,5
"Gilhooly1977","Gilhooly1977.rds","ready","simulations/familiar/pilot/Gilhooly1977.rds",70,95,20,75,55,75,100,5
"Gilhooly1980","Gilhooly1980.rds","ready","simulations/familiar/pilot/Gilhooly1980.rds",70,95,20,135,105,135,100,15
"Gilhooly1980a","Gilhooly1980a.rds","ready","simulations/familiar/pilot/Gilhooly1980a.rds",70,95,20,75,55,75,100,5
"Granja2025","Granja2025.rds","ready","simulations/familiar/pilot/Granja2025.rds",70,95,25,115,95,115,100,25
"Grigoriev2013","Grigoriev2013.rds","ready","simulations/familiar/pilot/Grigoriev2013.rds",70,95,20,45,35,45,100,5
"Guasch2016","Guasch2016.rds","ready","simulations/familiar/pilot/Guasch2016.rds",70,95,20,55,35,55,100,5
"Hermans1994","Hermans1994.rds","ready","simulations/familiar/pilot/Hermans1994.rds",70,95,20,105,85,105,100,5
"Hinojosa2016b","Hinojosa2016b.rds","ready","simulations/familiar/pilot/Hinojosa2016b.rds",70,95,20,55,45,55,100,5
"Janschewitz2008","Janschewitz2008.rds","ready","simulations/familiar/pilot/Janschewitz2008.rds",70,95,20,265,235,265,100,5
"Janssen2011","Janssen2011.rds","ready","simulations/familiar/pilot/Janssen2011.rds",70,95,20,65,45,65,100,5
"Kerr1991","Kerr1991.rds","ready","simulations/familiar/pilot/Kerr1991.rds",70,95,20,45,35,45,100,5
"Khwaileh2018","Khwaileh2018.rds","ready","simulations/familiar/pilot/Khwaileh2018.rds",70,95,20,155,135,155,100,15
"Kraljevic2018","Kraljevic2018.rds","ready","simulations/familiar/pilot/Kraljevic2018.rds",70,95,20,115,65,115,100,5
"Lachaud2007","Lachaud2007.rds","ready","simulations/familiar/pilot/Lachaud2007.rds",70,95,20,105,55,105,100,5
"Li2021","Li2021.rds","ready","simulations/familiar/pilot/Li2021.rds",70,95,20,75,55,75,100,5
"Liu2025","Liu2025.rds","ready","simulations/familiar/pilot/Liu2025.rds",70,95,20,55,45,55,100,5
"Manoiloff2010","Manoiloff2010.rds","ready","simulations/familiar/pilot/Manoiloff2010.rds",70,95,20,65,55,65,100,5
"Masterson1998","Masterson1998.rds","ready","simulations/familiar/pilot/Masterson1998.rds",70,95,20,75,65,75,100,5
"Montefinese2014","Montefinese2014.rds","ready","simulations/familiar/pilot/Montefinese2014.rds",70,95,20,55,45,55,100,5
"Moreno-Martinez2012","Moreno-Martinez2012.rds","ready","simulations/familiar/pilot/Moreno-Martinez2012.rds",70,95,20,125,105,125,100,5
"Moreno-Martinez2014","Moreno-Martinez2014.rds","ready","simulations/familiar/pilot/Moreno-Martinez2014.rds",70,95,20,75,55,75,100,5
"Navarrete2019","Navarrete2019.rds","ready","simulations/familiar/pilot/Navarrete2019.rds",70,95,20,125,105,125,100,5
"Quadflieg2014","Quadflieg2014.rds","ready","simulations/familiar/pilot/Quadflieg2014.rds",70,95,20,45,35,45,100,5
"Rogic2013","Rogic2013.rds","ready","simulations/familiar/pilot/Rogic2013.rds",70,95,20,95,75,95,100,5
"Russell1970","Russell1970.rds","ready","simulations/familiar/pilot/Russell1970.rds",70,95,20,45,35,45,100,5
"Salmon2010","Salmon2010.rds","ready","simulations/familiar/pilot/Salmon2010.rds",70,95,20,125,85,125,100,5
"Schroder2012","Schroder2012.rds","ready","simulations/familiar/pilot/Schroder2012.rds",70,95,20,45,35,45,100,5
"Schwitter2004","Schwitter2004.rds","ready","simulations/familiar/pilot/Schwitter2004.rds",70,95,20,65,45,65,100,5
"Scott2017","Scott2017.rds","ready","simulations/familiar/pilot/Scott2017.rds",70,95,20,65,45,65,100,5
"Scott2019","Scott2019.rds","ready","simulations/familiar/pilot/Scott2019.rds",70,95,20,65,45,65,100,5
"Snodgrass1980","Snodgrass1980.rds","ready","simulations/familiar/pilot/Snodgrass1980.rds",70,95,20,75,55,75,100,5
"Stration1975","Stration1975.rds","ready","simulations/familiar/pilot/Stration1975.rds",70,95,20,65,45,65,100,5
