"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below","reliability_hit_sample_size"
"Barca2002","Barca2002.rds","ready","simulations/imagine/pilot/Barca2002.rds",70,95,20,80,60,80,100,20
"Berrian1979","Berrian1979.rds","ready","simulations/imagine/pilot/Berrian1979.rds",70,95,20,110,90,110,100,20
"Borsa2025","Borsa2025.rds","ready","simulations/imagine/pilot/Borsa2025.rds",70,95,20,50,30,50,100,20
"Chan2024","Chan2024.rds","ready","simulations/imagine/pilot/Chan2024.rds",70,95,20,40,30,40,100,20
"Conca2024","Conca2024.rds","ready","simulations/imagine/pilot/Conca2024.rds",70,95,20,30,20,30,100,20
"DeDeyne2008","DeDeyne2008.rds","ready","simulations/imagine/pilot/DeDeyne2008.rds",70,95,20,60,40,60,100,20
"Desrochers2009","Desrochers2009.rds","ready","simulations/imagine/pilot/Desrochers2009.rds",70,95,20,110,90,110,100,20
"Falcinelli2024","Falcinelli2024.rds","ready","simulations/imagine/pilot/Falcinelli2024.rds",70,95,20,40,30,40,100,20
"Gilhooly1980","Gilhooly1980.rds","ready","simulations/imagine/pilot/Gilhooly1980.rds",70,95,20,130,110,130,100,20
"Grigoriev2013","Grigoriev2013.rds","ready","simulations/imagine/pilot/Grigoriev2013.rds",70,95,20,60,30,60,100,20
"Janschewitz2008","Janschewitz2008.rds","ready","simulations/imagine/pilot/Janschewitz2008.rds",70,95,20,330,270,330,100,20
"Kerr1991","Kerr1991.rds","ready","simulations/imagine/pilot/Kerr1991.rds",70,95,20,60,40,60,100,20
"Kraljevic2018","Kraljevic2018.rds","ready","simulations/imagine/pilot/Kraljevic2018.rds",70,95,20,70,50,70,100,20
"Manoiloff2010","Manoiloff2010.rds","ready","simulations/imagine/pilot/Manoiloff2010.rds",70,95,20,60,50,60,100,20
"Miklashevsky2018","Miklashevsky2018.rds","ready","simulations/imagine/pilot/Miklashevsky2018.rds",70,95,20,70,40,70,100,20
"Muraki2025","Muraki2025.rds","ready","simulations/imagine/pilot/Muraki2025.rds",70,95,20,50,40,50,100,20
"PetiStantic2021","PetiStantic2021.rds","ready","simulations/imagine/pilot/PetiStantic2021.rds",70,95,20,60,40,60,100,20
"Raslescu2023","Raslescu2023.rds","ready","simulations/imagine/pilot/Raslescu2023.rds",70,95,20,250,220,250,100,20
"Schmidtke2014","Schmidtke2014.rds","ready","simulations/imagine/pilot/Schmidtke2014.rds",70,95,20,50,30,50,100,20
"Scott2019","Scott2019.rds","ready","simulations/imagine/pilot/Scott2019.rds",70,95,20,70,50,70,100,20
"Stration1975","Stration1975.rds","ready","simulations/imagine/pilot/Stration1975.rds",70,95,20,60,40,60,100,20
"Tsaparina2011","Tsaparina2011.rds","ready","simulations/imagine/pilot/Tsaparina2011.rds",70,95,20,80,60,80,100,20
"Vo2009","Vo2009.rds","ready","simulations/imagine/pilot/Vo2009.rds",70,95,20,50,30,50,100,20
"Walley1992","Walley1992.rds","ready","simulations/imagine/pilot/Walley1992.rds",70,95,20,40,30,40,100,20
"Yee2017","Yee2017.rds","ready","simulations/imagine/pilot/Yee2017.rds",70,95,20,40,30,40,100,20
