"name","output","status","pilot_file","lower_target","upper_target","start_sample_size","stop_sample_size","lower_hit_sample_size","upper_hit_sample_size","max_percent_below","reliability_hit_sample_size"
"Bogunovic2023","Bogunovic2023.rds","ready","simulations/valence/pilot/Bogunovic2023.rds",70,95,20,55,45,55,100,5
"Bonin2018","Bonin2018.rds","ready","simulations/valence/pilot/Bonin2018.rds",70,95,20,65,45,65,100,5
"Borsa2025","Borsa2025.rds","ready","simulations/valence/pilot/Borsa2025.rds",70,95,20,65,35,65,100,5
"Bradley1999","Bradley1999.rds","ready","simulations/valence/pilot/Bradley1999.rds",70,95,20,25,15,25,100,5
"Chan2024","Chan2024.rds","ready","simulations/valence/pilot/Chan2024.rds",70,95,20,45,35,45,100,5
"Cheng2025","Cheng2025.rds","ready","simulations/valence/pilot/Cheng2025.rds",70,95,20,45,35,45,100,5
"Conca2024","Conca2024.rds","ready","simulations/valence/pilot/Conca2024.rds",70,95,20,25,15,25,100,5
"Coso2019","Coso2019.rds","ready","simulations/valence/pilot/Coso2019.rds",70,95,20,55,35,55,100,5
"Falcinelli2024","Falcinelli2024.rds","ready","simulations/valence/pilot/Falcinelli2024.rds",70,95,20,45,35,45,100,5
"Ferre2012","Ferre2012.rds","ready","simulations/valence/pilot/Ferre2012.rds",70,95,20,95,65,95,100,5
"Guasch2016","Guasch2016.rds","ready","simulations/valence/pilot/Guasch2016.rds",70,95,20,65,35,65,100,5
"Hinojosa2016a","Hinojosa2016a.rds","ready","simulations/valence/pilot/Hinojosa2016a.rds",70,95,20,95,55,95,100,5
"Imbir2015","Imbir2015.rds","ready","simulations/valence/pilot/Imbir2015.rds",70,95,20,95,65,95,100,5
"Janschewitz2008","Janschewitz2008.rds","ready","simulations/valence/pilot/Janschewitz2008.rds",70,95,20,395,285,395,99.3318485523385,5
"Kanske2010","Kanske2010.rds","ready","simulations/valence/pilot/Kanske2010.rds",70,95,20,105,85,105,100,15
"Kurdi2017","Kurdi2017.rds","ready","simulations/valence/pilot/Kurdi2017.rds",70,95,20,215,145,215,100,5
"Liu2025","Liu2025.rds","ready","simulations/valence/pilot/Liu2025.rds",70,95,20,75,45,75,100,5
"Monnier2017","Monnier2017.rds","ready","simulations/valence/pilot/Monnier2017.rds",70,95,20,55,45,55,100,5
"Montefinese2014","Montefinese2014.rds","ready","simulations/valence/pilot/Montefinese2014.rds",70,95,20,75,45,75,100,5
"Moors2013","Moors2013.rds","ready","simulations/valence/pilot/Moors2013.rds",70,95,20,135,85,135,100,5
"Muraki2025","Muraki2025.rds","ready","simulations/valence/pilot/Muraki2025.rds",70,95,20,65,45,65,100,5
"Quadflieg2014","Quadflieg2014.rds","ready","simulations/valence/pilot/Quadflieg2014.rds",70,95,20,65,35,65,100,5
"Raslescu2023","Raslescu2023.rds","ready","simulations/valence/pilot/Raslescu2023.rds",70,95,20,355,265,355,99.6666666666667,5
"Ric2013","Ric2013.rds","ready","simulations/valence/pilot/Ric2013.rds",70,95,20,185,125,185,100,5
"Rocklage2018","Rocklage2018.rds","ready","simulations/valence/pilot/Rocklage2018.rds",70,95,20,85,55,85,100,5
"Roest2017","Roest2017.rds","ready","simulations/valence/pilot/Roest2017.rds",70,95,20,185,125,185,100,5
"Schauenburg2015","Schauenburg2015.rds","ready","simulations/valence/pilot/Schauenburg2015.rds",70,95,20,75,55,75,100,5
"Schmidtke2014","Schmidtke2014.rds","ready","simulations/valence/pilot/Schmidtke2014.rds",70,95,20,55,35,55,100,5
"Scott2017","Scott2017.rds","ready","simulations/valence/pilot/Scott2017.rds",70,95,20,85,55,85,100,5
"Scott2019","Scott2019.rds","ready","simulations/valence/pilot/Scott2019.rds",70,95,20,85,55,85,100,5
"Siew2025","Siew2025.rds","ready","simulations/valence/pilot/Siew2025.rds",70,95,20,115,95,115,100,5
"Soares2012","Soares2012.rds","ready","simulations/valence/pilot/Soares2012.rds",70,95,20,115,85,115,100,5
"Stadthagen-Gonzalez2017","Stadthagen-Gonzalez2017.rds","ready","simulations/valence/pilot/Stadthagen-Gonzalez2017.rds",70,95,20,215,145,215,100,5
"Stadthagen-Gonzalez2017a","Stadthagen-Gonzalez2017a.rds","ready","simulations/valence/pilot/Stadthagen-Gonzalez2017a.rds",70,95,20,45,35,45,100,5
"Syssau2009","Syssau2009.rds","ready","simulations/valence/pilot/Syssau2009.rds",70,95,20,175,135,175,100,5
"VanderGoten1999","VanderGoten1999.rds","ready","simulations/valence/pilot/VanderGoten1999.rds",70,95,20,65,55,65,100,5
"Verheyen2020","Verheyen2020.rds","ready","simulations/valence/pilot/Verheyen2020.rds",70,95,20,55,35,55,100,5
"Vo2009","Vo2009.rds","ready","simulations/valence/pilot/Vo2009.rds",70,95,20,55,35,55,100,5
"Warriner2013","Warriner2013.rds","ready","simulations/valence/pilot/Warriner2013.rds",70,95,20,45,35,45,100,5
"Yao2017","Yao2017.rds","ready","simulations/valence/pilot/Yao2017.rds",70,95,20,145,95,145,100,5
"Yee2017","Yee2017.rds","ready","simulations/valence/pilot/Yee2017.rds",70,95,20,65,35,65,100,5
