word_english,arousal_LSA_M,arousal_norms_M,concrete_LSA_M,concrete_norms_M,dominate_LSA_M,dominate_norms_M,imagine_LSA_M,imagine_norms_M,valence_LSA_M,valence_norms_M
aback,4.58,,4.19,,4.93,,4.58,,5.2,
abacus,4.66,,5.02,,5.39,,5.11,,5.97,
abalone,5.21,,5.76,,4.88,,5.43,,5.39,
abandon,5.75,,3.07,,5.01,,3.97,,4.33,
abandoned,4.86,,4.58,,4.75,,4.77,,4.76,
abandonment,5.51,,3.18,2.63,4.22,,4.18,3.54,3.39,
abash,4.83,,4.37,,5.07,,4.97,,5.42,
abate,5.47,,3.2,,4.38,,4.18,,3.38,
abbey,5.14,,5.05,,5.63,,4.97,,6.12,
abbot,5.14,,4.41,,5.46,,4.68,,5.98,
abbreviate,4.54,,4.2,,5.33,,4.36,,5.81,
abbreviation,4.52,,4.63,,5.32,,4.62,,5.95,
abdicate,5.79,,4,,4.96,,4.47,,4.44,
abdomen,5.06,,5.49,6.2,4.86,,5.24,5.27,4.59,
abdominal,5.05,,4.49,,4.53,,4.66,,3.93,
aberration,5.39,,4.07,,4.4,,4.5,,3.73,
abhor,5.77,,3.01,,5.22,,4.08,,4.75,
abhorrent,5.89,,3.5,,4.49,,4.66,,3.88,
abide,5.26,,3.24,,5.53,,3.8,,5.94,
abiding,5.04,,3.37,,5.26,,4.15,,5.4,
ability,5.36,,3.12,2.69,5.84,,3.77,3.43,6.46,
ablaze,4.91,,4.73,,4.85,,5.48,,4.87,
able,5.31,,3.12,,5.7,,3.74,,6.11,
able-bodied,5.62,,4.48,,5.43,,4.95,,5.29,
abnormal,5.23,,3.6,,3.86,,4.19,,2.97,
abnormality,5.17,,3.84,,4.04,,4.34,,3.34,
abnormally,5.14,,4.14,,4.18,,4.24,,3.18,
aboard,5.34,,5.49,,5.02,,5.22,,5.33,
abode,5.49,,3.51,4.89,5.3,,4.34,4.36,5.37,
abolish,5.41,,3.65,,5.4,,4.21,,5.21,
abolition,5.46,,3.33,,5.2,,4.05,,4.71,
abolitionist,5.96,,3.97,,4.96,,4.42,,4.14,
abominable,5.89,,3.42,,4.84,,4.49,,3.88,
aborigine,4.74,,5.13,,5.01,,5.16,,5.31,
abort,5.6,,3.91,,5.09,,4.39,,5.61,
abortion,5.55,5.39,3.69,,5.24,4.59,4.16,,5.65,3.5
abortive,5.68,,3.42,,4.98,,3.92,,4.38,
abound,5.18,,3.21,,5.57,,3.86,,6.1,
about,5.19,,3.55,,5.23,,4.14,,5.73,
above,4.65,,4.86,,5.02,,5.1,,5.5,
above-average,5.41,,3.84,,5.25,,4.18,,5.69,
abrasion,4.82,,5.38,,4.68,,5.16,,4.86,
abrasive,4.48,,5.54,,5.09,,5.18,,5.28,
abreast,5.14,,4.07,,5.51,,4.49,,5.97,
abridge,4.85,,3.57,,4.99,,3.8,,5,
abroad,5.4,,3.51,,5.34,,4.27,,5.36,
abrupt,5.66,,3.02,,4.63,,4.14,,4.15,
abruptly,4.7,,4.79,,4.95,,5.21,,5.15,
absence,5.35,,2.75,,4.92,,3.15,,4.83,
absent,5.04,,2.99,,4.97,,3.36,,5.15,
absent-mindedly,4.57,,5.17,,5.09,,5.26,,5.64,
absently,4.7,,4.68,,5.11,,5.06,,5.54,
absolute,5.16,,3.11,,5.63,,3.71,,5.68,
absolutely,5.32,,3.2,,5.09,,4.08,,5.27,
absolutism,5.6,,3.43,,5.8,,4.13,,5.87,
absorb,4.75,,4.78,,5.14,,4.97,,5.63,
absorber,4.67,,5.2,,5.1,,5.03,,5.43,
absorptance,4.94,,4.82,,5.03,,4.67,,4.88,
abstain,5.25,,2.9,,5.45,,3.9,,5.58,
abstract,5.03,,2.96,,5.97,,3.61,,6.8,
abstraction,5.24,,2.92,,5.78,,3.43,,6.46,
absurd,5.33,4.36,3.02,,5.3,4.73,4.13,,5.44,4.26
absurdity,5.19,,2.85,,5.4,,3.69,,5.45,
abundance,5.16,5.51,3.58,2.57,5.74,5.8,4.16,3.92,6.68,6.59
abundant,4.71,,4.65,,5.22,,4.41,,5.79,
abundantly,4.64,,4.78,,5.15,,4.83,,5.47,
abuse,5.33,6.83,3.55,,4.05,3.69,4.52,,3.18,1.8
abused,5.48,,3.71,,4.11,,4.45,,3.29,
abuser,5.45,,3.78,,4.04,,4.57,,3.11,
abusive,5.61,,3.35,,4.1,,4.15,,3.26,
abyss,5.63,,3.77,4.91,4.66,,5.01,4.19,4.12,
abyssal,4.61,,5.58,,4.9,,5.39,,5.73,
acacia,4.14,,5.87,,4.85,,5.45,,5.18,
academic,5.44,,3.98,,5.81,,4.52,,6.41,
academically,5.19,,3.9,,5.47,,4.43,,5.85,
academy,5.65,,3.8,,6.11,,4.44,,7.01,
accelerate,4.85,,3.95,,5.29,,4.41,,5.47,
accelerated,5.05,,3.72,,5.06,,4.21,,5.11,
acceleration,4.76,,4.22,3.6,5.16,,4.58,4.92,5.37,
accelerator,4.73,,5.28,,4.94,,5.04,,4.93,
accent,5.02,,4.09,,5.49,,4.42,,6.37,
accentuate,5.02,,3.62,,5.51,,4,,5.82,
accept,5.09,,2.85,,5.6,,3.41,,5.92,
acceptability,5.13,,3.61,,5.7,,3.89,,6.29,
acceptable,5.2,,2.89,,5.56,,3.36,,5.9,
acceptance,5.15,5.4,2.99,,5.44,6.64,3.44,,5.85,7.98
accepted,5.09,,2.91,,5.61,,3.4,,6.11,
access,4.98,,3.91,,5.48,,3.92,,5.94,
accessibility,5.25,,3.17,,4.63,,3.6,,4.36,
accessible,4.65,,3.75,,5.56,,3.83,,5.97,
accessory,4.37,,4.71,,5.4,,4.49,,5.79,
accident,5.37,6.26,3.97,4.29,4.17,3.76,4.54,5.24,3.7,2.05
accidental,5.69,,3.65,,4.27,,4.24,,3.45,
accidentally,5.48,,3.72,,4.56,,4.38,,3.87,
acclaimed,5.5,,3.37,,6.01,,4.42,,6.76,
accommodate,4.91,,3.59,,5.7,,3.67,,6.25,
accommodation,4.96,,3.42,4.8,5.23,,3.61,4.72,5.41,
accompaniment,5.35,,4.49,,5.79,,5.07,,6.96,
accompany,5.6,,2.98,,5.33,,3.87,,5.81,
accompanying,5.2,,3.07,,5.34,,3.45,,5.75,
accomplice,5.16,,4.34,,4.93,,4.57,,5.23,
accomplish,5.1,,3.03,,5.72,,3.48,,6.38,
accomplished,5.55,,3.48,,5.97,,4.3,,6.78,
accomplishment,5.56,,3.09,,6.24,,3.88,,7.19,
accord,4.97,,3.03,,5.54,,3.3,,6.14,
accordance,5.11,,3.09,2.6,5.55,,3.37,2.43,6.01,
accordingly,5.15,,2.84,,5.36,,3.15,,5.56,
account,5.09,,4.57,,5.26,,4.55,,5.78,
accountability,5.14,,3.76,,5.62,,3.99,,6.14,
accountable,5.21,,3.89,,5.64,,4.05,,6.02,
accountant,5.29,,4.39,,5.66,,4.36,,6.48,
accounting,5.17,,4.39,,5.51,,4.33,,6.18,
accredit,5.45,,4.24,,5.39,,4.54,,5.96,
accrue,5.19,,3.27,,5.47,,3.75,,5.96,
accrued,5.4,,4.17,,5.29,,4.36,,5.59,
accumulate,4.96,,3.68,,5.07,,3.84,,4.89,
accumulation,5.28,,3.22,2.77,5.4,,3.4,3.6,5.92,
accumulator,4.41,,4.61,,4.75,,4.63,,4.84,
accuracy,4.85,,3.99,,5.65,,3.99,,6.14,
accurate,4.65,,3.76,,5.45,,3.99,,5.9,
accurately,4.78,,3.58,,5.61,,3.81,,6.16,
accusation,5.54,,3.73,,4.31,,4.31,,3.4,
accuse,5.51,,3.98,,4.23,,4.45,,3.35,
accuser,5.46,,3.57,4.34,4.21,,4.22,3.49,3.31,
accustom,5.23,,3.06,,5.1,,3.93,,5.05,
accustomed,5.08,,4.2,,4.79,,4.81,,4.74,
ace,5.24,5.5,4.65,,5.63,6.39,4.97,,6.32,6.88
acetate,4.37,,5.68,,5.19,,5.23,,5.6,
acetic,4.93,,5.08,,5.05,,4.86,,5.05,
acetone,4.97,,5.01,,4.87,,4.8,,4.59,
acetylcholine,5.38,,4.44,,4.4,,4.53,,3.82,
acetylene,4.79,,5.47,,4.97,,5.08,,4.95,
ache,4.68,5,4.77,,4.7,3.54,5.22,,4.87,2.46
achieve,5.28,,3.11,,5.89,,3.63,,6.51,
achievement,5.35,5.53,3.38,,5.98,6.56,3.98,,6.6,7.89
achiever,5.27,,3.73,,5.34,,4.15,,5.71,
acid,5.01,,5.11,,4.84,,4.84,,4.22,
acidic,5.07,,4.94,,4.87,,4.71,,4.57,
acidity,4.87,,5.28,3.89,4.97,,5.02,4.38,4.71,
acknowledge,5.42,,2.73,,5.49,,3.46,,5.45,
acknowledged,5.15,,3.04,,5.78,,3.87,,6.36,
acknowledgment,5.24,,3.13,,5.67,,3.74,,6.27,
acne,4.84,,4.82,,4.47,,4.88,,3.91,
acorn,4.58,,6.09,,5.1,,5.47,,5.75,
acoustic,4.63,,4.94,,5.09,,5,,5.64,
acquaint,5.43,,3.36,,5.59,,4.03,,6.13,
acquaintance,5.52,,3.39,,5.39,,4.3,,5.98,
acquiesce,5.42,,3.12,,5.44,,3.66,,5.2,
acquiescence,5.33,,3.17,,4.72,,3.76,,4.23,
acquire,5.32,,2.9,,6.09,,3.51,,6.78,
acquisition,5.19,,3.21,,5.7,,3.53,,6.24,
acquit,5.64,,3.91,,4.12,,4.52,,3.17,
acre,4.78,,5.19,4.77,5.06,,4.98,4.7,4.95,
acreage,4.85,,4.81,,5.23,,4.67,,5.44,
acrobat,5.76,,4.5,,5.75,,5.21,,6.93,
acropolis,5.11,,4.99,,5.38,,4.97,,6.04,
across,4.83,,4.72,,4.98,,5.14,,5.49,
acrylic,4.51,,5.01,,5.15,,4.7,,5.34,
act,5.49,,3.51,3.86,4.83,,3.83,4.35,4.35,
acting,5.71,,4.16,,5.65,,4.57,,6.38,
action,5.4,,3.19,,5.18,,3.65,,5.31,
activate,5.03,4.86,4.25,,4.88,5.43,4.22,,4.84,5.46
activation,5.28,,4.15,,4.68,,4.17,,4.56,
active,5.57,,3.43,,5.37,,3.65,,5.78,
actively,5.19,,3.25,,5.49,,3.5,,5.91,
activism,5.07,,3.09,,5.4,,3.71,,5.55,
activist,5.66,,3.63,,5.23,,4.17,,5.14,
activity,5.54,,3.31,,5.56,,3.67,,6.21,
actor,5.74,,4.44,,5.73,,4.86,,6.68,
actual,4.82,,2.93,,5.6,,3.29,,6.2,
actuality,5.23,,2.74,2.34,5.15,,3.35,2.19,5.39,
actually,4.91,,3.05,,5.34,,3.46,,5.57,
