word_english,letters_N,frequency_M_log,familiar_M_American,familiar_M_British,imagine_M_British,aoa_M_log,imagine_M_American,transparency_M,Lexeme_Meaning_Dominance_M,Length_first_lexeme_M,Frequency_first_lexeme_M,familiar_M_first_lexeme,aoa_M_log_first_lexeme,imagine_M_first_lexeme,bilabial,labiodental,dental,labiovelar,postalvelolar,alveolar,palatal,palatal.alveolar,glottal,velar,voiced,length_second_lexeme_M,frequency_second_lexeme_M,familiar_M_second_lexeme,aoa_M_log_second_lexeme,imagine_M_second_lexeme
airspace,8,3.12,4.21,5.07,2.93,0.726998728,3.9,5.54,4.86,3,5.22,6.08,0.447158031,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,5.29,5.76,0.531478917,4.5
awestruck,9,2.37,5.93,5.13,3.13,0.792391689,3.05,5,3.27,3,3.78,1,0.653212514,2.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,4.43,4.79,0.62324929,3.8
backlog,7,3.28,3.57,4.27,2.67,0.810680475,1.95,2.91,4.8,4,6.25,5.87,0.422452159,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,4.09,1,0.477121255,6.3
bagpipe,7,2.51,6.64,6.1,6.57,0.643452676,6.52,4.46,5.93,3,4.89,6.34,0.439332694,6.4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4.26,4.61,0.579783597,6.3
bankroll,8,2.43,4.86,3.8,2.5,0.819543936,3.38,3.53,3.86,4,5.28,5.73,0.547928465,6.1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4.86,5.25,0.491361694,4.5
beefsteak,9,2.04,5.5,5.47,5.77,0.742986833,5.9,5.8,5.36,4,4.19,5.51,0.528273777,6.5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,4.05,5.58,0.531478917,6.5
beehive,7,3.09,6.86,6.43,6.6,0.477121255,6.43,5.6,5.87,3,4.45,5.54,0.386944624,6.9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,3.5,3.86,0.612783857,5.6
beetroot,8,3.91,4.14,6.13,6.57,0.797036595,3.38,5.36,4.73,4,3.12,1,0.640978057,4.8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4.13,4.57,0.568201724,6
bellhop,7,1.7,5.64,3.87,3.6,0.726998728,3.81,2.5,4.07,4,4.54,4.95,0.449092531,6.6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,4.31,4.32,0.397940009,5
bittersweet,11,3,6.64,6.07,2.5,0.698970004,3.62,4.93,4.6,6,4.19,5.3,0.674861141,4.1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,4.98,5.7,0.447158031,4
bodyguard,9,3.23,6.93,6.43,6.33,0.61630043,6.1,5.64,7.27,4,5.18,6.1,0.537819095,6.1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,4.33,4.97,0.612783857,5.8
