item,word_english,definition_phrase,aoa_M,RT_M,RT_SD,item_Z,,,,,,,
1,abstract,not concrete,5.785714286,3354.657586,2093.041749,0.994207353,,,,,,,
1,abstract,summary,6.321428571,3174.417857,2329.837136,1.109260806,,,,,,,
2,accommodation,lodging & food,5.586206897,4166.63931,7779.441607,0.653775627,,,,,,,
2,accommodation,adaptation,5.821428571,3483.437857,2539.017508,0.807251694,,,,,,,
3,account,bank,4.724137931,2588.969655,1519.17984,0.168892415,,,,,,,
3,account,description of events,5.392857143,4278.595,5375.018832,0.531842342,,,,,,,
3,account,basis for action,5.551724138,3893.536552,2186.322953,0.637840879,,,,,,,
4,ace,card,3.793103448,3096.317931,2802.980819,-0.629775342,,,,,,,
4,ace,expert,5.607142857,3615.818214,2937.064569,0.563547857,,,,,,,
4,ace,tennis serve,5.666666667,2882.241111,1221.528552,0.697802092,,,,,,,
5,act,theater,4.333333333,10113.73464,31454.483,-0.065999006,,,,,,,
5,act,do,3.379310345,3789.123793,5863.131195,-0.848424469,,,,,,,
6,ad,advertisement,4.678571429,2330.385,1030.45432,0.113451005,,,,,,,
6,add,mathematical addition,3.428571429,2720.732857,1277.321968,-0.766791485,,,,,,,
7,addition,math function,3.592592593,3766.728889,2184.668612,-0.829637634,,,,,,,
7,addition,more,4.25,3119.095714,1837.319724,-0.392080419,,,,,,,
7,addition,extra room,5.172413793,5169.041379,8845.072232,0.295282835,,,,,,,
8,address,home location,3.551724138,3086.933103,1458.663639,-0.87322581,,,,,,,
8,address,speech,5.275862069,2621.58069,1298.36178,0.352116778,,,,,,,
9,admission,ticket,4.931034483,2690.696207,1733.517198,0.178717606,,,,,,,
9,admission,allow entry,4.857142857,4129.710714,2409.111508,0.097864898,,,,,,,
9,admission,confession,5.321428571,3658.475714,2361.95545,0.414656558,,,,,,,
10,admit,confess,4.285714286,3545.387241,4261.716934,-0.388028226,,,,,,,
10,admit,allow entry,4.931034483,3092.96931,1727.933392,0.164048768,,,,,,,
11,advance,sexual proposition,6.678571429,3620.312143,1946.856654,1.419718912,,,,,,,
11,advance,go forward,4.428571429,3236.8375,1943.699255,-0.207325428,,,,,,,
11,advance,get paid early,5.896551724,3454.846552,2742.290375,0.790681413,,,,,,,
12,affair,adultery,6.071428571,2906.893929,1337.480284,1.015316103,,,,,,,
12,affair,event,5.285714286,3444.745,1907.267066,0.444692923,,,,,,,
13,affect,outward emotion,5.448275862,4201.443103,3072.673152,0.414047058,,,,,,,
13,affect,influence,5.24137931,4124.098966,6844.525395,0.310001276,,,,,,,
14,age,how old one is,2.448275862,2891.506897,1356.545608,-1.614249811,,,,,,,
14,age,"the act of aging (e.g., to age wine)",5.482758621,4604.535862,1846.822986,0.57149409,,,,,,,
15,agent,a person who works for an organization,5.481481481,2933.047778,1340.001048,0.602116004,,,,,,,
15,agent,a substance acting in a chemical reaction,6.310344828,3520.896552,2041.682015,1.106246432,,,,,,,
16,aid,helper,4.074074074,2477.760714,1808.413994,-0.259120669,,,,,,,
16,aid,a type of help...financial aid,5.034482759,3857.542069,2507.597668,0.248260829,,,,,,,
17,aids,disease,5.714285714,3419.703571,1862.058583,0.722531732,,,,,,,
17,aids,helpers,4.75862069,2799.241724,1383.032263,0.043923009,,,,,,,
