word_french,valence_M,arousal_M,valence_number,arousal_number,valence_M_Painchaud_2005,valience_M_Syssau_Font_2005,valence_M_Bonin_etal_2003,,valence_M_Messina_etal_1989,valence_M_Vikis_Freiberg_1976,valence_M_Bradley_Lang_1999,valuence_M_Vo_al_2009,valence_M_Leleu_1987,valence_M_Zammuner_1998,valence_M_Eilola_Havelka_2007,valence_M_Redondo_etal_2007,valence_M_Niedenthal_etal_2004,arousal_M_Bradley_Lang_1999,arousal_M_Vo_al_2009,arousal_M_Leleu_1987,arousal_M_Eilola_Havelka_2007,arousal_M_Redondo_etal_2007
abaisser,-0.69,,1,-,0.69,,,,,,,,,,,,,,,,,
abandon,-0.73,0.32,2,1,0.69,,,,,,,,0.77,,,,,,,0.32,,
abandonné,-0.63,0.65,1,1,,,,,,,,,,,,0.63,,,,,,0.65
abandonner,-0.63,0.38,3,2,0.74,,,,,,,0.49,0.67,,,,,,0.30,0.45,,
abat-jour,0.28,,1,-,,,,,,0.28,,,,,,,,,,,,
abattement lassitude,-0.5,0.15,1,1,,,,,,,,,0.50,,,,,,,0.15,,
abattoir,-0.67,,1,-,0.67,,,,,,,,,,,,,,,,,
abattre,-0.7,0.62,1,1,,,,,,,,,0.70,,,,,,,0.62,,
abbaye,-,0.21,1,1,,,,,,,,,,,,,,,0.21,,,
abbé,0.12,0.13,2,1,,,,,0.17,,,0.07,,,,,,,0.13,,,
abécédaire,0.13,0.24,1,1,,,,,,,,0.13,,,,,,,0.24,,,
abeille,0.09,0.35,5,1,0.24,0.02,0.04,,0.28,,,0.38,,,,,,,0.35,,,
abeilles,-0.29,0.73,1,1,,,,,,,,,,,,0.29,,,,,,0.73
abhorrer,-0.57,0.45,1,1,,,,,,,,,0.57,,,,,,,0.45,,
abîme,-0.35,0.72,2,1,,,,,,0.23,,0.47,,,,,,,0.72,,,
abject,-0.73,0.30,1,1,,,,,,,,,0.73,,,,,,,0.30,,
abnégation,-0.3,0.38,1,1,,,,,,,,,0.30,,,,,,,0.38,,
abolir,-0.28,,1,-,0.28,,,,,,,,,,,,,,,,,
abominable,-0.7,0.35,1,1,,,,,,,,,0.70,,,,,,,0.35,,
abondance,0.52,0.55,4,3,0.72,,,,,,0.40,,0.47,,,0.51,,0.56,,0.50,,0.60
abonné,0.00,,1,-,,0.00,,,,,,,,,,,,,,,,
abordable,0.61,,1,-,0.61,,,,,,,,,,,,,,,,,
abri,0.58,,2,-,0.65,,,,,0.52,,,,,,,,,,,,
abricot,0.47,,2,-,,0.33,0.60,,,,,,,,,,,,,,,
abrité,0.19,0.41,1,1,,,,,,,0.19,,,,,,,0.41,,,,
absence,-0.41,0.18,2,1,0.56,,,,,,,,0.27,,,,,,,0.18,,
absent,-0.42,,2,-,0.56,0.29,,,,,,,,,,,,,,,,
absolu,0.20,0.45,1,1,,,,,,,,,0.20,,,,,,,0.45,,
abstrait,0.11,,1,-,,0.11,,,,,,,,,,,,,,,,
absurde,-0.3,0.33,3,2,0.38,,,,,,0.19,,0.33,,,,,0.42,,0.23,,
absurdement,-0.33,0.61,1,1,,,,,,,,0.33,,,,,,,0.61,,,
abus,-0.57,0.58,3,2,0.57,,,,,,0.80,,,,0.35,,,0.73,,,0.42,
académie,0.20,0.54,1,1,,,,,,,,0.20,,,,,,,0.54,,,
accablé,-0.63,0.20,1,1,,,,,,,,,0.63,,,,,,,0.20,,
accablement,-0.57,0.30,1,1,,,,,,,,,0.57,,,,,,,0.30,,
accélération du pouls,-0.13,0.80,1,1,,,,,,,,,0.13,,,,,,,0.80,,
accent,0.11,0.55,2,1,0.23,,,,,,,,,,,,,,0.55,,,
acceptation,0.25,0.37,3,2,0.47,,,,,,,0.08,0.20,,,,,,0.33,0.42,,
accepté,0.50,0.37,1,1,,,,,,,,,0.50,,,,,,,0.37,,
accepter,0.46,0.50,2,1,0.62,,,,,,,,0.30,,,,,,,0.50,,
accès de colère,-0.5,0.92,1,1,,,,,,,,,0.50,,,,,,,0.92,,
accident,-0.7,0.72,7,5,0.86,,,,0.56,,0.74,0.78,0.90,,0.38,0.71,,0.66,0.81,0.68,0.60,0.84
acclamation,0.63,0.77,1,1,,,,,,,,,0.63,,,,,,,0.77,,
acclamer,0.64,0.70,2,2,,,,,,,0.78,,0.50,,,,,0.64,,0.77,,
accointance,0.07,0.50,1,1,,,,,,,,,0.07,,,,,,,0.50,,
accolade,0.50,0.32,2,1,0.78,,,,,,,,0.23,,,,,,,0.32,,
accommodant,0.10,0.35,1,1,,,,,,,,,0.10,,,,,,,0.35,,
accompagner,0.41,0.44,1,1,,,,,,,,0.41,,,,,,,0.44,,,
accomplissement,0.69,0.32,1,1,,,,,,,,0.69,,,,,,,0.32,,,
accord,0.63,0.53,3,2,0.76,,,,,,0.52,,0.60,,,,,0.50,,0.55,,
accordéon,0.09,,3,-,,0.08,-,0.12,0.30,,,,,,,,,,,,,
accouchement,0.51,0.90,2,1,0.50,,,,,,,,0.53,,,,,,,0.90,,
accoucher,0.30,,1,-,0.30,,,,,,,,,,,,,,,,,
accouplement,0.77,0.88,1,1,,,,,,,,,0.77,,,,,,,0.88,,
accueil,0.51,0.43,2,1,0.80,,,,,,,0.23,,,,,,,0.43,,,
accueillant,0.70,0.49,1,1,,,,,,,,,,,,0.70,,,,,,0.49
accueillir,0.38,0.44,1,1,,,,,,,,0.38,,,,,,,0.44,,,
accusation,-0.57,0.58,1,1,,,,,,,,,0.57,,,,,,,0.58,,
accuse,-0.5,0.71,1,1,,,,,,,,0.50,,,,,,,0.71,,,
accuser,-0.5,0.67,2,2,,,,,,,,0.43,0.57,,,,,,0.71,0.63,,
achat,0.19,0.50,1,1,,,,,,,,0.19,,,,,,,0.50,,,
acheter,0.27,0.54,1,1,,,,,,,,0.27,,,,,,,0.54,,,
acide,-0.32,0.62,2,1,,0.39,,,,,,,,,,0.24,,,,,,0.62
acné,-0.75,0.22,2,1,0.78,,,,,,,,0.73,,,,,,,0.22,,
acquérir,0.28,0.32,1,1,,,,,,,,0.28,,,,,,,0.32,,,
acre,-0.06,0.47,1,1,,,,,,,,,,,,0.06,,,,,,0.47
acte impulsif,-0.07,0.82,1,1,,,,,,,,,0.07,,,,,,,0.82,,
acteur,0.39,0.75,2,1,0.39,,,,,,,,0.40,,,,,,,0.75,,
actif,0.74,,1,-,0.74,,,,,,,,,,,,,,,,,
action,0.45,0.59,3,2,0.75,,,,,,,0.20,0.40,,,,,,0.29,0.88,,
activation,0.27,0.72,1,1,,,,,,,,,0.27,,,,,,,0.72,,
activement,0.53,0.57,1,1,,,,,,,,0.53,,,,,,,0.57,,,
activer,0.50,0.77,1,1,,,,,,,,,0.50,,,,,,,0.77,,
activité,0.52,0.44,2,1,0.80,,,,,,,0.25,,,,,,,0.44,,,
actrice,0.49,0.75,2,1,,,,,0.58,,,,0.40,,,,,,,0.75,,
actualité,0.13,0.65,1,1,,,,,,,,,0.13,,,,,,,0.65,,
adjoint,0.27,,1,-,0.27,,,,,,,,,,,,,,,,,
adjointe,0.32,,1,-,0.32,,,,,,,,,,,,,,,,,
administrateur,0.06,,1,-,0.06,,,,,,,,,,,,,,,,,
administration,-0.37,0.38,1,1,,,,,,,,0.37,,,,,,,0.38,,,
admirable,0.70,0.40,1,1,,,,,,,,,0.70,,,,,,,0.40,,
admiratif,0.57,0.42,1,1,,,,,,,,,0.57,,,,,,,0.42,,
admiration,0.70,0.48,2,1,0.69,,,,,,,,0.70,,,,,,,0.48,,
admirative,0.57,0.42,1,1,,,,,,,,,0.57,,,,,,,0.42,,
admiré,0.66,0.68,2,2,,,,,,,0.69,,,,,0.63,,0.64,,,,0.73
admirer,0.67,0.58,1,1,,,,,,,,,0.67,,,,,,,0.58,,
adolescence,0.34,0.77,2,1,0.47,,,,,,,,0.20,,,,,,,0.77,,
adolescent,0.36,0.78,3,1,0.27,,,,0.53,,,,0.27,,,,,,,0.78,,
adorable,0.68,0.55,2,2,,,,,,,0.70,,,,,0.66,,0.52,,,,0.58
adoration,0.41,0.55,3,1,,,,,,,,,0.37,0.30,,,0.56,,,0.55,,
