word_english,sample_size,set_size,set_size_singles,frequency_KF,concrete_M,homograph,pos,Mean_Connectivity,Connectivity_Strength,Resonance_Probability,Resonance_Strength,Accessibility_Index,Non-Responses,Ending_Stem_Set_Size__,Ending_Stem_Strength,Beginning_Stem_Set_Size,Beginning_Stem_Strength,Ending_Fragment_Cue,Ending_Fragment_Set_size,Ending_Fragment_Strength,Beginning_Fragment_Cue,Beginning_Cue_Set_Size,Beginning_Cue_Strength
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
a,152,13,36,9999,,,N,,,,,7,0.02,,,,,,,,,,
aardvark,152,13,33,0,,,N,0.80,2.080,0.10,1.120,1,0.13,,,,,,,,,,
abdomen,152,12,37,6,6.83,,N,1.78,2.370,0.11,1.020,1,0.01,,,,,,,,,,
abduct,150,11,27,0,,,V,,,,,1,0.02,,,,,,,,,,
ability,143,22,53,74,2.03,,N,2.00,2.850,0.50,1.870,18,0.08,,,,,,,,,,
able,148,15,28,216,2.91,,AJ,,,,,14,0.03,11,0.02,,,,,,,,
abnormal,139,13,36,3,,,AJ,3.50,4.410,0.25,1.390,10,0.00,,,,,,,,,,
above,140,9,19,188,,,AD,1.44,1.800,0.56,1.790,14,0.01,,,,,,,,,,
absence,152,22,47,53,,,N,1.65,3.100,0.10,1.170,2,0.02,,,,,,,,,,
absent,143,12,29,28,,,AJ,1.55,3.140,0.27,1.180,8,0.00,,,,,,,,,,
abstract,146,18,63,34,,G,AJ,1.12,2.880,0.19,1.060,4,0.03,,,,,,,,,,
absurd,153,14,40,17,,,AJ,2.91,4.550,0.09,1.030,1,0.01,9,0.01,,,,,,,,
abundance,152,21,54,13,,,N,2.24,2.570,0.12,1.110,6,0.02,,,,,,,,,,
abuse,198,15,34,1,2.17,,V,1.79,3.060,0.43,1.960,12,0.01,8,0.00,,,,,,,,
accelerate,140,11,20,24,,,V,2.40,4.560,0.20,1.030,3,0.01,,,,,,,,,,
accept,150,18,56,72,,,V,1.94,2.640,0.31,1.370,17,0.04,,,,,,,,,,
accident,148,20,31,33,4.26,,N,1.69,3.900,0.44,1.690,38,0.01,,,,,,,,,,
accomplish,147,8,24,24,2.78,,V,1.88,2.100,0.38,1.150,8,0.03,,,,,,,,,,
accomplished,148,19,54,44,,,V,,,,,2,0.01,,,,,,,,,,
account,141,14,27,117,3.63,P,N,1.25,2.800,0.33,1.580,7,0.01,,,,,,,,,,
accumulate,151,20,49,3,,,V,1.67,2.630,0.06,1.040,1,0.00,,,,,,,,,,
accurate,149,15,52,35,,,AJ,2.08,5.440,0.08,1.170,3,0.03,,,,,,,,,,
accuse,132,20,52,10,,,V,2.40,3.390,0.15,1.210,7,0.04,,,,,,,,,,
ace,145,15,38,15,3.78,T,N,0.23,1.590,0.08,1.030,5,0.02,14,0.01,,,-CE,2,0.31,,,
ache,144,7,14,4,4.33,,V,1.00,2.450,0.86,1.370,15,0.01,20,0.01,,,,,,,,
achieve,132,17,39,51,,,V,2.29,3.220,0.47,1.500,13,0.02,15,0.00,,,,,,,,
achievement,149,17,39,65,3.15,,N,2.00,3.010,0.25,1.070,11,0.04,,,,,,,,,,
