word_english_1,word_english_2,FSG,BSG,MSG,OSG,QSS,QFR,QCON,QPS,TSS,TFR,TCON,TPS
a,b,0.454,,,,13,9999,,N,,,,
a,alphabet,0.066,0.046,0.002,0,13,9999,,N,11,2,,N
a,the,0.066,,,,13,9999,,N,,,,
a,grade,0.059,0.277,0,0.0013,13,9999,,N,14,35,3.7,N
a,letter,0.039,0,0.003,0.0022,13,9999,,N,15,145,5.16,N
a,plus,0.033,0,0,0,13,9999,,N,4,52,2.18,PP
a,an,0.026,,,,13,9999,,N,,,,
a,z,0.02,,,,13,9999,,N,,,,
a,and,0.013,,,,13,9999,,N,,,,
a,apple,0.013,0,0,0,13,9999,,N,17,9,7,V
a,great,0.013,0,0,0,13,9999,,N,18,665,3.03,AJ
a,one,0.013,0,0,0,13,9999,,N,6,3292,3.72,AJ
a,word,0.013,0,0,0.0046,13,9999,,N,20,274,5.13,N
aardvark,animal,0.322,0,0.021,0.0006,13,0,,N,28,68,5.65,N
aardvark,ant,0.197,0,0.017,0.001,13,0,,N,14,6,6,N
aardvark,anteater,0.059,0.117,0.003,0.1152,13,0,,N,9,1,6.16,N
aardvark,pinkpanther,0.026,,,,13,0,,N,,,,
aardvark,music,0.02,0,0,0,13,0,,N,25,216,5.15,N
aardvark,nose,0.02,0,0,0,13,0,,N,15,60,6.26,N
aardvark,ugly,0.02,0,0.001,0,13,0,,N,14,21,3.68,N
aardvark,confused,0.013,,,,13,0,,N,,,,
aardvark,dictionary,0.013,0,0,0,13,0,,N,8,57,6.29,N
aardvark,fur,0.013,0,0.007,0.048,13,0,,N,13,13,6.69,N
aardvark,roadkill,0.013,,,,13,0,,N,,,,
aardvark,shell,0.013,0,0,0,13,0,,N,17,22,5.93,N
aardvark,zoo,0.013,0,0.007,0.209,13,0,,N,8,9,5.79,N
abdomen,stomach,0.566,0.021,0.01,0.0041,12,6,6.83,N,17,37,6.04,N
abdomen,body,0.072,0,0.02,0.0046,12,6,6.83,N,31,276,6.58,N
abdomen,muscle,0.046,0,0.007,0.0035,12,6,6.83,N,22,42,6,N
abdomen,situps,0.026,,,,12,6,6.83,N,,,,
abdomen,organ,0.02,0,0.012,0.0061,12,6,6.83,N,12,26,5.81,N
abdomen,pain,0.02,0,0.023,0,12,6,6.83,N,13,88,4.22,N
abdomen,belly,0.013,0,0.012,0.2264,12,6,6.83,N,12,23,6.04,N
abdomen,cramp,0.013,0,0,0.0436,12,6,6.83,N,14,2,,N
abdomen,crunches,0.013,,,,12,6,6.83,N,,,,
abdomen,intestine,0.013,0,0.028,0.1799,12,6,6.83,N,18,1,,N
abdomen,sex,0.013,0,0.001,0,12,6,6.83,N,15,84,5.33,N
abdomen,sixpack,0.013,,,,12,6,6.83,N,,,,
abduct,kidnap,0.453,0.079,0.001,0.0664,11,0,,V,12,0,,V
abduct,take,0.18,0,0.166,0.0086,11,0,,V,11,611,3.2,V
abduct,steal,0.067,0,0.071,0.059,11,0,,V,17,5,3.59,V
abduct,alien,0.047,,,,11,0,,V,,,,
abduct,adduct,0.04,,,,11,0,,V,,,,
abduct,child,0.02,0,0.057,0,11,0,,V,15,213,5.72,N
abduct,capture,0.013,0,0,0.0349,11,0,,V,24,17,,V
abduct,harass,0.013,,,,11,0,,V,,,,
abduct,kidnapper,0.013,,,,11,0,,V,,,,
abduct,missing,0.013,0,0,0.0007,11,0,,V,11,33,,V
abduct,open,0.013,0,0,0,11,0,,V,5,319,3.72,AJ
ability,capability,0.119,0.282,0.006,0.0194,22,74,2.03,N,12,14,2.42,N
ability,able,0.077,0.014,0.028,0.0053,22,74,2.03,N,15,216,2.91,AJ
ability,competence,0.063,0.175,0,0.0152,22,74,2.03,N,13,18,1.86,N
ability,skill,0.056,0.102,0.004,0.0071,22,74,2.03,N,21,42,3.24,N
ability,strength,0.056,0.028,0.01,0.0032,22,74,2.03,N,9,136,2.9,N
ability,inability,0.042,0.046,0,0.0039,22,74,2.03,N,20,17,,N
ability,power,0.035,0,0.005,0.0088,22,74,2.03,N,22,342,3.32,N
ability,talent,0.035,0.048,0.015,0.005,22,74,2.03,N,16,40,2.88,N
ability,disability,0.028,,,,22,74,2.03,N,,,,
ability,do,0.021,0,0.003,0.0005,22,74,2.03,N,20,1363,2.72,V
ability,potential,0.021,0.089,0.007,0.0034,22,74,2.03,N,25,67,1.9,AJ
ability,athlete,0.014,0,0.001,0.0032,22,74,2.03,N,18,9,,N
ability,can,0.014,0,0.015,0.0029,22,74,2.03,N,20,1772,3.61,V
ability,capacity,0.014,0.086,0.002,0.0025,22,74,2.03,N,23,83,2.41,N
ability,knowhow,0.014,,,,22,74,2.03,N,,,,
ability,knowledge,0.014,0,0.005,0.0008,22,74,2.03,N,14,145,1.56,N
ability,mind,0.014,0,0,0,22,74,2.03,N,10,325,2.6,N
ability,physical,0.014,0,0,0.0019,22,74,2.03,N,17,138,,AJ
ability,sport,0.014,0,0.003,0.0006,22,74,2.03,N,12,17,4.18,N
ability,to,0.014,,,,22,74,2.03,N,,,,
ability,unable,0.014,,,,22,74,2.03,N,,,,
ability,work,0.014,0,0.002,0,22,74,2.03,N,19,760,3.88,N
able,willing,0.264,0.348,0.001,0.0027,15,216,2.91,AJ,16,69,,AJ
able,can,0.196,0.027,0,0.0011,15,216,2.91,AJ,20,1772,3.61,V
able,capable,0.095,,,,15,216,2.91,AJ,,,,
able,unable,0.095,,,,15,216,2.91,AJ,,,,
able,to,0.047,,,,15,216,2.91,AJ,,,,
able,disabled,0.027,,,,15,216,2.91,AJ,,,,
able,do,0.027,0,0.008,0,15,216,2.91,AJ,20,1363,2.72,V
able,bodied,0.02,,,,15,216,2.91,AJ,,,,
able,handicapped,0.02,,,,15,216,2.91,AJ,,,,
able,strong,0.02,0,0,0,15,216,2.91,AJ,11,202,3.24,AJ
able,ability,0.014,0.077,0,0.0053,15,216,2.91,AJ,22,74,2.03,N
able,cain,0.014,,,,15,216,2.91,AJ,,,,
able,easy,0.014,0,0.012,0,15,216,2.91,AJ,8,125,2.81,V
able,ready,0.014,0.014,0.012,0.0108,15,216,2.91,AJ,15,143,,AJ
able,well,0.014,0,0,0,15,216,2.91,AJ,12,897,4.57,N
abnormal,normal,0.281,0.34,0.013,0.0224,13,3,,AJ,15,136,2.38,AJ
abnormal,weird,0.216,0.021,0.076,0.0543,13,3,,AJ,15,10,2.39,AJ
abnormal,strange,0.108,0,0.09,0.1036,13,3,,AJ,12,84,2.45,AJ
abnormal,different,0.05,0,0.022,0.0091,13,3,,AJ,12,312,2.75,AJ
abnormal,retarded,0.036,0,0,0,13,3,,AJ,17,7,,AJ
abnormal,crazy,0.029,0,0.036,0.0244,13,3,,AJ,16,34,2.2,AJ
abnormal,odd,0.029,0,0.025,0.032,13,3,,AJ,7,44,2.6,AJ
abnormal,deformed,0.014,,,,13,3,,AJ,,,,
abnormal,insane,0.014,0,0.006,0.0154,13,3,,AJ,11,13,,AJ
abnormal,me,0.014,0,0.005,0.0028,13,3,,AJ,12,1181,5,P
abnormal,psychology,0.014,0,0,0.0004,13,3,,AJ,14,14,3.42,N
abnormal,uncommon,0.014,0,0,0.0248,13,3,,AJ,12,8,,AJ
abnormal,unusual,0.014,0.028,0.018,0.0831,13,3,,AJ,11,63,2.2,AJ
above,below,0.564,0.503,0,0.0006,9,188,,AD,9,145,,A
above,beyond,0.114,0.111,0,0.0042,9,188,,AD,20,175,,PP
above,up,0.064,0,0.003,0.0026,9,188,,AD,5,1895,3.8,AD
above,high,0.057,0,0.004,0.0024,9,188,,AD,11,497,3.62,AJ
above,over,0.043,0.099,0.019,0.0015,9,188,,AD,11,1236,2.8,PP
above,top,0.036,0.02,0.002,0.0028,9,188,,AD,11,204,4.31,N
above,average,0.014,0.059,0,0,9,188,,AD,19,130,2.35,N
above,cloud,0.014,0,0.003,0.0048,9,188,,AD,8,28,5.42,N
above,sky,0.014,0,0.007,0.0049,9,188,,AD,12,58,5.32,N
absence,good,0.145,0,0.001,0,22,53,,N,8,807,2.53,AJ
absence,present,0.099,0,0.003,0.0014,22,53,,N,12,377,3.37,N
absence,missing,0.086,0,0,0,22,53,,N,11,33,,V
absence,sick,0.079,0,0.009,0.0003,22,53,,N,13,51,3.89,AJ
absence,presence,0.059,0.138,0.002,0.0063,22,53,,N,14,76,3.37,N
absence,tardy,0.046,0,0.002,0.0003,22,53,,N,3,1,2.53,AJ
absence,attendance,0.039,0.034,0,0.0212,22,53,,N,19,12,,N
absence,notthere,0.033,,,,22,53,,N,,,,
absence,away,0.026,0,0,0.0023,22,53,,N,17,456,2.53,AD
absence,class,0.026,0,0.005,0.0041,22,53,,N,23,207,5.03,N
absence,here,0.026,0,0.023,0.0023,22,53,,N,4,750,2.81,AD
absence,school,0.02,0,0.012,0.0008,22,53,,N,22,492,5.25,N
absence,alone,0.013,0,0.001,0.0003,22,53,,N,19,195,3.81,AJ
absence,empty,0.013,0,0.002,0.0004,22,53,,N,11,64,3.65,AJ
absence,excuse,0.013,0,0,0.0055,22,53,,N,16,27,3.05,V
absence,illness,0.013,0,0.002,0.0571,22,53,,N,7,20,4.05,N
absence,kids,0.013,0,0,0.0003,22,53,,N,24,32,,N
absence,mind,0.013,0,0,0,22,53,,N,10,325,2.6,N
absence,not,0.013,0,0.001,0,22,53,,N,21,4609,2.68,AD
absence,void,0.013,0,0,0.0016,22,53,,N,20,10,,N
absence,withdrawal,0.013,,,,22,53,,N,,,,
absence,without,0.013,0,0,0.0044,22,53,,N,15,583,2.6,AD
absent,present,0.294,0.062,0.001,0.0049,12,28,,AJ,12,377,3.37,N
absent,gone,0.133,0,0.019,0.0054,12,28,,AJ,20,195,3.02,AJ
absent,minded,0.091,0.107,0,0,12,28,,AJ,21,3,,AJ
absent,missing,0.077,0.013,0,0.0258,12,28,,AJ,11,33,,V
absent,here,0.056,0,0.035,0.0147,12,28,,AJ,4,750,2.81,AD
absent,sick,0.056,0,0,0,12,28,,AJ,13,51,3.89,AJ
absent,nothere,0.042,,,,12,28,,AJ,,,,
absent,school,0.042,0,0.001,0,12,28,,AJ,22,492,5.25,N
absent,tardy,0.035,0,0,0.0006,12,28,,AJ,3,1,2.53,AJ
absent,away,0.021,0,0.014,0.0212,12,28,,AJ,17,456,2.53,AD
absent,lost,0.021,0,0.019,0.0035,12,28,,AJ,6,173,,AJ
absent,there,0.014,0,0.036,0.0416,12,28,,AJ,9,2724,2.12,AD
abstract,art,0.233,0.013,0.029,0.001,18,34,,AJ,17,208,4.36,N
abstract,painting,0.103,0,0,0.0652,18,34,,AJ,18,59,6.18,N
abstract,concrete,0.041,0.027,0,0,18,34,,AJ,15,48,5.5,AJ
abstract,different,0.041,0,0.001,0.0005,18,34,,AJ,12,312,2.75,AJ
abstract,weird,0.034,0,0.001,0.0011,18,34,,AJ,15,10,2.39,AJ
abstract,unclear,0.027,0.02,0,0,18,34,,AJ,17,57,,AJ
abstract,mind,0.021,0,0.004,0.0024,18,34,,AJ,10,325,2.6,N
abstract,thought,0.021,0,0.009,0.007,18,34,,AJ,9,442,1.28,N
abstract,wild,0.021,0,0,0,18,34,,AJ,15,56,3.72,AJ
abstract,black,0.014,0,0,0,18,34,,AJ,10,203,4.66,AJ
abstract,complex,0.014,0,0,0,18,34,,AJ,13,91,2.53,AJ
abstract,draw,0.014,0,0.017,0,18,34,,AJ,15,56,4.32,V
abstract,geometry,0.014,0,0,0.0075,18,34,,AJ,11,9,3.33,N
abstract,idea,0.014,0,0.003,0.0105,18,34,,AJ,17,195,2.87,N
abstract,math,0.014,0,0.007,0.0002,18,34,,AJ,19,4,3.78,N
abstract,picasso,0.014,,,,18,34,,AJ,,,,
abstract,think,0.014,0,0.008,0.0043,18,34,,AJ,22,433,3.38,V
abstract,unreal,0.014,,,,18,34,,AJ,,,,
absurd,ridiculous,0.268,0.034,0.001,0.0356,14,17,,AJ,13,19,1.92,AJ
absurd,crazy,0.137,0,0.025,0.0048,14,17,,AJ,16,34,2.2,AJ
absurd,stupid,0.137,0,0.06,0.0196,14,17,,AJ,6,24,3.39,AJ
absurd,weird,0.052,0,0.031,0.0303,14,17,,AJ,15,10,2.39,AJ
absurd,strange,0.039,0,0.018,0.0222,14,17,,AJ,12,84,2.45,AJ
absurd,dumb,0.033,0,0.086,0.0721,14,17,,AJ,4,13,3.36,AJ
absurd,nonsense,0.026,0,0,0.0406,14,17,,AJ,20,13,1.9,N
absurd,silly,0.026,0,0.066,0.0277,14,17,,AJ,16,15,2.57,AJ
absurd,outrageous,0.02,0,0.006,0.0165,14,17,,AJ,20,2,,ADJ
absurd,unbelievable,0.02,,,,14,17,,AJ,,,,
absurd,unheardof,0.02,,,,14,17,,AJ,,,,
absurd,funny,0.013,0,0.055,0.0024,14,17,,AJ,17,41,3.23,AJ
absurd,impossible,0.013,0,0,0,14,17,,AJ,16,84,,AJ
absurd,ludicrous,0.013,,,,14,17,,AJ,,,,
abundance,lots,0.224,0,0.001,0.0169,21,13,,N,16,42,,N
abundance,plenty,0.125,0.077,0.009,0.0099,21,13,,N,17,55,2.88,N
abundance,many,0.079,0,0.04,0.0046,21,13,,N,8,1030,2.67,AJ
abundance,money,0.039,0,0.012,0,21,13,,N,19,265,5.77,N
abundance,food,0.033,0,0.005,0.0002,21,13,,N,18,147,5.84,N
abundance,much,0.033,0,0.018,0.0221,21,13,,N,9,937,2.38,AJ
abundance,lack,0.026,0,0.001,0.0009,21,13,,N,27,110,3,N
abundance,scarcity,0.026,0.027,0,0.0056,21,13,,N,19,3,,N
abundance,full,0.02,0,0.008,0.0023,21,13,,N,11,230,3.74,AJ
abundance,excess,0.013,,,,21,13,,N,,,,
abundance,famine,0.013,0,0,0.0008,21,13,,N,11,3,3.71,N
abundance,large,0.013,0,0,0,21,13,,N,6,361,3.14,AJ
abundance,little,0.013,0,0.038,0.0002,21,13,,N,7,831,3.48,AJ
abundance,more,0.013,0,0.027,0.0061,21,13,,N,9,2216,2.77,AJ
abundance,myriad,0.013,,,,21,13,,N,,,,
abundance,overwhelming,0.013,,,,21,13,,N,,,,
abundance,people,0.013,0,0.004,0.0016,21,13,,N,18,847,5.51,N
abundance,plethora,0.013,,,,21,13,,N,,,,
abundance,trees,0.013,0,0,0,21,13,,N,19,101,7,N
abundance,variety,0.013,0,0,0.0198,21,13,,N,17,85,,N
abundance,water,0.013,0,0.001,0,21,13,,N,18,442,6.27,N
abuse,child,0.293,0,0.005,0,15,1,2.17,V,15,213,5.72,N
abuse,hurt,0.141,0,0.028,0.0141,15,1,2.17,V,12,37,3.66,V
abuse,hit,0.091,0,0.019,0.0103,15,1,2.17,V,18,115,4.39,V
abuse,beat,0.076,0.017,0.002,0.0304,15,1,2.17,V,17,68,3.67,V
abuse,neglect,0.066,0.193,0,0.0208,15,1,2.17,V,12,8,,V
abuse,drug,0.045,0.061,0.003,0.0023,15,1,2.17,V,20,24,5.54,N
abuse,mistreat,0.045,0.462,0,0.0109,15,1,2.17,V,16,0,,V
abuse,alcohol,0.03,0.041,0.001,0.0052,15,1,2.17,V,12,13,6.87,N
abuse,bad,0.025,0,0.006,0,15,1,2.17,V,9,142,3,AJ
abuse,pain,0.025,0,0.073,0.0777,15,1,2.17,V,13,88,4.22,N
abuse,use,0.015,0.192,0.001,0,15,1,2.17,V,22,589,2.88,V
abuse,violent,0.015,0,0.001,0.0022,15,1,2.17,V,24,33,2.86,AJ
abuse,fight,0.01,0,0.003,0.0119,15,1,2.17,V,24,98,4.16,V
abuse,sexual,0.01,,,,15,1,2.17,V,,,,
abuse,spouse,0.01,0,0,0.0105,15,1,2.17,V,11,3,6.12,N
accelerate,speed,0.386,0.02,0.023,0.1132,11,24,,V,15,83,3.56,N
accelerate,fast,0.271,0,0.146,0.0416,11,24,,V,7,78,2.93,AJ
accelerate,car,0.114,0,0.076,0.0101,11,24,,V,25,274,6.35,N
accelerate,decelerate,0.029,,,,11,24,,V,,,,
accelerate,gas,0.029,0,0.005,0.0431,11,24,,V,10,98,5.34,N
accelerate,increase,0.029,0.014,0,0,11,24,,V,11,195,,V
accelerate,go,0.014,0,0.009,0.0105,11,24,,V,14,626,3.33,V
accelerate,pedal,0.014,0,0,0.0113,11,24,,V,11,4,5.95,N
accelerate,race,0.014,0,0.007,0.0128,11,24,,V,17,103,4.46,N
accelerate,slow,0.014,0,0.186,0.1487,11,24,,V,11,60,2.89,AJ
accelerate,stop,0.014,0,0.008,0.0086,11,24,,V,8,120,2.93,V
accept,take,0.168,0,0.009,0.006,18,72,,V,11,611,3.2,V
accept,reject,0.107,0.169,0.004,0.0102,18,72,,V,18,10,2.82,V
accept,deny,0.094,0.048,0.007,0.0054,18,72,,V,18,47,2.63,V
accept,agree,0.074,0,0.001,0.0013,18,72,,V,11,51,,V
accept,understand,0.047,0,0.002,0,18,72,,V,12,137,2.33,V
accept,allow,0.034,0,0.003,0.0003,18,72,,V,16,72,2.64,V
accept,believe,0.027,0.067,0,0.0027,18,72,,V,23,200,1.85,V
accept,acknowledge,0.02,0.069,0,0.0031,18,72,,V,22,12,2.86,V
accept,unacceptable,0.02,,,,18,72,,V,,,,
accept,except,0.013,,,,18,72,,V,,,,
accept,gift,0.013,0,0.001,0.0008,18,72,,V,16,33,5.28,N
accept,give,0.013,0,0.075,0.0765,18,72,,V,13,291,3.18,V
accept,good,0.013,0,0,0,18,72,,V,8,807,2.53,AJ
accept,like,0.013,0,0,0.0001,18,72,,V,16,1290,2.82,V
accept,money,0.013,0,0,0,18,72,,V,19,265,5.77,N
accept,receive,0.013,0,0.01,0.0153,18,72,,V,15,76,2.98,V
accept,want,0.013,0,0,0.0007,18,72,,V,9,329,2.95,V
accept,yes,0.013,0.014,0.008,0.0015,18,72,,V,7,144,,AD
accident,car,0.358,0,0.056,0,20,33,4.26,N,25,274,6.35,N
accident,crash,0.128,0.132,0.007,0.1095,20,33,4.26,N,16,20,4.28,V
accident,mistake,0.074,0.029,0,0.0006,20,33,4.26,N,11,34,2.7,N
accident,wreck,0.054,0.257,0.006,0.1333,20,33,4.26,N,9,8,4.88,V
accident,injury,0.034,0.042,0.001,0.0141,20,33,4.26,N,12,27,5.51,N
accident,bad,0.027,0,0.002,0,20,33,4.26,N,9,142,3,AJ
accident,unintentional,0.027,,,,20,33,4.26,N,,,,
accident,hurt,0.02,0,0.028,0.012,20,33,4.26,N,12,37,3.66,V
accident,pain,0.02,0,0.02,0.011,20,33,4.26,N,13,88,4.22,N
accident,prone,0.02,,,,20,33,4.26,N,,,,
accident,purpose,0.02,0,0,0,20,33,4.26,N,13,149,2.4,N
accident,victim,0.02,0,0,0.0016,20,33,4.26,N,20,27,5.49,N
accident,ambulance,0.014,0.116,0,0.0069,20,33,4.26,N,18,6,7,N
accident,danger,0.014,0.027,0,0.0008,20,33,4.26,N,23,70,3.68,N
accident,fall,0.014,0,0.002,0.0009,20,33,4.26,N,17,147,3.86,V
accident,mishap,0.014,,,,20,33,4.26,N,,,,
accident,oops,0.014,,,,20,33,4.26,N,,,,
accident,problem,0.014,0,0.002,0,20,33,4.26,N,13,313,3.64,N
accident,sorry,0.014,0,0.001,0.0018,20,33,4.26,N,17,48,2.68,AJ
accident,tragedy,0.014,0.077,0,0.0026,20,33,4.26,N,22,49,2.59,N
accomplish,finish,0.34,0,0.024,0.0064,8,24,2.78,V,8,39,2.78,V
accomplish,do,0.143,0.039,0.005,0.0051,8,24,2.78,V,20,1363,2.72,V
accomplish,achieve,0.122,0.076,0.016,0.0347,8,24,2.78,V,17,51,,V
accomplish,goal,0.075,0,0.028,0.022,8,24,2.78,V,21,60,3.4,N
accomplish,succeed,0.075,0.028,0.005,0.0053,8,24,2.78,V,21,15,3,V
accomplish,complete,0.054,0,0.037,0.1244,8,24,2.78,V,11,181,2.4,AJ
accomplish,win,0.027,0,0.025,0,8,24,2.78,V,7,55,2.88,V
accomplish,nothing,0.02,0,0,0,8,24,2.78,V,15,412,1.88,N
accomplished,finished,0.162,0,0,0.067,19,44,,V,9,87,,V
accomplished,done,0.122,0,0.089,0.0011,19,44,,V,9,320,2.65,AJ
accomplished,goal,0.074,0,0.015,0,19,44,,V,21,60,3.4,N
accomplished,successful,0.074,,,,19,44,,V,,,,
accomplished,achievement,0.068,0,0,0.0166,19,44,,V,17,65,3.15,N
accomplished,writer,0.034,0,0,0,19,44,,V,19,73,5.63,N
accomplished,good,0.027,0,0.002,0.0003,19,44,,V,8,807,2.53,AJ
accomplished,proud,0.027,0,0,0.003,19,44,,V,22,50,3.22,AJ
accomplished,attained,0.02,,,,19,44,,V,,,,
accomplished,did,0.02,,,,19,44,,V,,,,
accomplished,completed,0.014,,,,19,44,,V,,,,
accomplished,established,0.014,,,,19,44,,V,,,,
accomplished,graduated,0.014,,,,19,44,,V,,,,
accomplished,happy,0.014,0,0.005,0,19,44,,V,8,98,3.51,AJ
accomplished,pianist,0.014,,,,19,44,,V,,,,
accomplished,productive,0.014,,,,19,44,,V,,,,
accomplished,smart,0.014,0,0,0,19,44,,V,14,21,3,V
accomplished,talented,0.014,,,,19,44,,V,,,,
accomplished,work,0.014,0,0.005,0,19,44,,V,19,760,3.88,N
account,money,0.312,0,0.236,0.0053,14,117,3.63,N,19,265,5.77,N
account,bank,0.277,0.035,0.01,0.2493,14,117,3.63,N,6,83,5.69,N
account,number,0.092,0,0,0,14,117,3.63,N,17,472,3.76,N
account,checking,0.035,0.44,0,0.0405,14,117,3.63,N,10,5,,V
account,book,0.021,0,0,0.0077,14,117,3.63,N,15,193,6.09,N
account,charge,0.021,0.064,0,0.02,14,117,3.63,N,13,122,3.5,V
account,checkbook,0.021,0.041,0.001,0.1743,14,117,3.63,N,11,5,,N
account,for,0.021,0,0,0,14,117,3.63,N,13,9489,2.36,PRP
account,list,0.021,0,0,0,14,117,3.63,N,14,133,4.93,N
account,ante,0.014,,,,14,117,3.63,N,,,,
account,balance,0.014,0,0.003,0.0003,14,117,3.63,N,13,32,,N
account,log,0.014,0,0,0.0003,14,117,3.63,N,9,11,6.86,N
account,savings,0.014,,,,14,117,3.63,N,,,,
account,store,0.014,0,0,0,14,117,3.63,N,17,74,5.44,N
accumulate,gather,0.205,0,0.045,0.0545,20,3,,V,20,20,,V
accumulate,collect,0.159,0,0.069,0.0617,20,3,,V,18,16,,V
accumulate,pile,0.066,0,0,0.0003,20,3,,V,20,25,5,N
accumulate,add,0.053,0,0.002,0.0001,20,3,,V,11,88,2.95,V
accumulate,build,0.04,0,0,0.001,20,3,,V,18,86,3.93,V
accumulate,gain,0.04,0,0.002,0.0021,20,3,,V,10,74,3.21,V
accumulate,acquire,0.026,0.041,0.001,0.0061,20,3,,V,17,27,,V
accumulate,clutter,0.026,,,,20,3,,V,,,,
